epoch,train_total,val_total,val_pose,val_gripper_bce,val_gripper_accuracy,val_phase_accuracy,val_contact_accuracy,val_grasp_accuracy,val_lift_transition_joint_accuracy,val_lift_transition_samples,val_xyz_mae,val_rpy_mae,val_grounding_cm,val_target_selection_accuracy,val_target_class_accuracy,initial_val_total,initial_val_xyz_mae,initial_val_grounding_cm,initial_val_target_selection_accuracy,initial_val_target_class_accuracy,selection_score,main_lr,vision_lr,best_selection_score,pick_A_first_action_mae,pick_A_first_grip_acc,initial_pick_A_grounding_cm,initial_pick_A_first_xyz_mae,initial_pick_A_first_rpy_mae,initial_pick_A_target_acc,initial_pick_A_target_class_acc,pick_B_first_action_mae,pick_B_first_grip_acc,initial_pick_B_grounding_cm,initial_pick_B_first_xyz_mae,initial_pick_B_first_rpy_mae,initial_pick_B_target_acc,initial_pick_B_target_class_acc,pick_C_first_action_mae,pick_C_first_grip_acc,initial_pick_C_grounding_cm,initial_pick_C_first_xyz_mae,initial_pick_C_first_rpy_mae,initial_pick_C_target_acc,initial_pick_C_target_class_acc,push_A_first_action_mae,push_A_first_grip_acc,initial_push_A_grounding_cm,initial_push_A_first_xyz_mae,initial_push_A_first_rpy_mae,initial_push_A_target_acc,initial_push_A_target_class_acc,push_B_first_action_mae,push_B_first_grip_acc,initial_push_B_grounding_cm,initial_push_B_first_xyz_mae,initial_push_B_first_rpy_mae,initial_push_B_target_acc,initial_push_B_target_class_acc,push_C_first_action_mae,push_C_first_grip_acc,initial_push_C_grounding_cm,initial_push_C_first_xyz_mae,initial_push_C_first_rpy_mae,initial_push_C_target_acc,initial_push_C_target_class_acc
1,0.7054475831178327,0.43238147695859275,0.32323680834637747,0.012959604436117742,0.9963466886017057,0.9180367327398724,0.9777777777777777,0.9854166666666667,1.0,60,0.0750682934704754,0.019400461494094797,1.0146775076786676,1.0,1.0,0.5800783650010033,0.06960168869885723,0.9279979572886914,1.0,1.0,0.4766905433713159,1.4e-05,4.6666666666666666e-07,0.4766905433713159,0.05274191424250603,0.9677083333333333,0.9986240565776825,0.07779554799199104,0.2173251872882247,1.0,1.0,0.039240378711838275,0.96875,0.9122188568115235,0.07276757806539536,0.021805765107274055,1.0,1.0,0.039169929510292904,0.9625,0.9007877588272095,0.07230271399021149,0.018949180841445923,1.0,1.0,0.0648389954585582,1.0,0.9201663911342621,0.056360647082328796,0.2520135037600994,1.0,1.0,0.07778174681589008,1.0,0.8394387685335599,0.05036877324947944,0.1978044739136329,1.0,1.0,0.06916101058789839,1.0,0.9657560616731644,0.06074048113077879,0.2566599637269974,1.0,1.0
2,0.42508628787472846,0.32067231254445183,0.24394522574212815,0.007942681852728128,0.9969116333458159,0.948003692428271,0.9838541666666667,0.9928819444444444,0.9,60,0.04763710683004724,0.013700560273395643,1.0616822451353074,1.0,1.0,0.46956911340224006,0.05362264001000244,1.074096015069337,1.0,1.0,0.41534135280178824,2.2000000000000003e-05,7.333333333333333e-07,0.41534135280178824,0.036013853557718294,0.9760416666666667,1.138098567724228,0.08583906833082437,0.213722862303257,1.0,1.0,0.02388334183876092,0.9854166666666667,1.0124905109405518,0.08601094484329223,0.01942143253982067,1.0,1.0,0.024072182772215456,0.9833333333333333,0.954756760597229,0.06930548697710037,0.017364223301410676,1.0,1.0,0.04193261247128248,1.0,1.2017654418945312,0.05242158370092511,0.11793691935017706,1.0,1.0,0.05653984873012329,1.0,0.8744043386899508,0.06116727223763099,0.046708062291145325,1.0,1.0,0.04564146895815308,1.0,1.193168306350708,0.06305601596832275,0.17708726562559604,1.0,1.0
3,0.3429280016105622,0.3040466238227155,0.21980681891242662,0.017195774645208276,0.9957153118318982,0.9470640983846452,0.9758680555555556,0.9932291666666667,0.9,60,0.0402690039223267,0.01136673254530049,0.9783192568355137,1.0,1.0,0.41094755836292707,0.05195973177267387,0.9150929783297851,1.0,1.0,0.38611690418477895,3e-05,1e-06,0.38611690418477895,0.02927298980842655,0.9791666666666666,1.168298029899597,0.0711631515994668,0.21383217051625253,1.0,1.0,0.01903578290560593,0.9833333333333333,0.7706029653549195,0.06229308098554611,0.014513489976525306,1.0,1.0,0.01894528030146224,0.9802083333333333,0.8828468799591065,0.05566049963235855,0.012289725989103318,1.0,1.0,0.03274969302583486,1.0,0.9946812570095063,0.06892149560153485,0.07139655388891697,1.0,1.0,0.04742984971186767,1.0,0.8474322465749887,0.07636143840276279,0.03362332169826214,1.0,1.0,0.03614167586977904,1.0,0.8030152186751366,0.08366349153220654,0.13205937165766954,1.0,1.0
4,0.30196890962154915,0.2584993503159947,0.19307148141993416,0.006178079151545212,0.9978269547224045,0.9613611419995626,0.9869791666666666,0.9934027777777777,0.8666666666666667,60,0.03154037368690802,0.010239222639292065,1.0951015886333253,1.0,1.0,0.34050881387913123,0.03764528825681294,1.015977157955676,1.0,1.0,0.3497688560516023,2.9947763583866635e-05,9.982587861288877e-07,0.3497688560516023,0.026837394008180127,0.9833333333333333,1.031917968392372,0.061070226971060036,0.21262239934876562,1.0,1.0,0.017521741113159805,0.9854166666666667,0.9621143817901612,0.05282475799322128,0.010708166658878327,1.0,1.0,0.016943891880024844,0.9854166666666667,1.1520999431610108,0.05078916102647781,0.010832487791776656,1.0,1.0,0.027645094745093957,1.0,1.0397673070430755,0.03674045875668526,0.03586842343211174,1.0,1.0,0.040716466455099486,1.0,0.6403678563924936,0.03867351894195263,0.03504797128530649,1.0,1.0,0.028583371264782425,1.0,1.1381323099136353,0.05347786545753479,0.07844847906380892,1.0,1.0
5,0.27299972030644615,0.2424948287506898,0.18154575837155182,0.007712217261440755,0.9976350688272052,0.9644233839379417,0.9878472222222222,0.9927083333333333,0.9666666666666667,60,0.027524646304340827,0.009407093246570892,1.0403009646468693,1.0,1.0,0.313127889042407,0.03569288583126216,0.9405687836419164,1.0,1.0,0.28035141350487164,2.9791430700041773e-05,9.930476900013924e-07,0.28035141350487164,0.023377853928832338,0.9895833333333334,0.8459151685237885,0.0583030148409307,0.20641926415264605,1.0,1.0,0.014677952286244059,0.9822916666666667,0.8446808397769928,0.04883921891450882,0.008377291448414325,1.0,1.0,0.015067164023639635,0.9875,1.0393778800964355,0.043780367076396945,0.009704034402966499,1.0,1.0,0.023611800263946256,1.0,1.1604504019021988,0.033658532332628964,0.031443779543042186,1.0,1.0,0.03537424110497037,1.0,0.7133791996882513,0.038785261603502125,0.028309589968277857,1.0,1.0,0.02499867754910762,1.0,0.9600927859544754,0.048002888448536396,0.049741179868578914,1.0,1.0
6,0.2567618645960465,0.23226263667974206,0.17408410248657066,0.005047315657551129,0.9969416754113303,0.9678177416324616,0.9875,0.9944444444444445,0.9666666666666667,60,0.025742095429450274,0.008999390625912282,0.9230325096183353,1.0,1.0,0.3046828092990723,0.03127745046090763,0.8986625634463488,1.0,1.0,0.2706553551322078,2.9532127730535737e-05,9.844042576845245e-07,0.2706553551322078,0.020823697885498406,0.9875,0.8548212856054306,0.04695955673232675,0.2019905276596546,1.0,1.0,0.013819055548325802,0.9864583333333333,0.7719409108161926,0.031848029047250745,0.007732073031365872,1.0,1.0,0.013597627515749385,0.9864583333333333,1.0047099113464355,0.039168070256710055,0.007910453155636788,1.0,1.0,0.023283097262416657,1.0,0.9471504867076874,0.029360175132751465,0.020338803250342607,1.0,1.0,0.03206653152204429,1.0,0.6355289129110483,0.0284982266334387,0.021956015091675978,1.0,1.0,0.024800073388420666,1.0,1.0857272684574126,0.04111399278044701,0.07639857996255159,1.0,1.0
7,0.24375650162498155,0.2323107312950823,0.17424712363216613,0.0056297367557716724,0.9976367496781879,0.9672154664993287,0.98125,0.9934027777777777,1.0,60,0.026608353848051693,0.008609976221082939,0.9545730584197574,1.0,1.0,0.2913280318004895,0.03269178667559033,0.884373515053133,1.0,1.0,0.2500159214467044,2.917172295918572e-05,9.723907653061906e-07,0.2500159214467044,0.02385429236649846,0.9833333333333333,0.9230664104223252,0.06043834090232849,0.17806681552901865,1.0,1.0,0.017849286611696394,0.978125,0.7025631070137024,0.046885658800601956,0.006855666171759367,1.0,1.0,0.01817784347998289,0.98125,0.9529208183288574,0.03958492875099182,0.007941266149282455,1.0,1.0,0.021865490501901754,1.0,1.0472659766674042,0.04119029138237238,0.01828082473948598,1.0,1.0,0.03079286861854295,1.0,0.6747666138869065,0.03146390846142402,0.020095304800913885,1.0,1.0,0.02398703880220031,1.0,0.9322960942983627,0.05544852986931801,0.05295332819223404,1.0,1.0
8,0.23516202264775832,0.2236528938015302,0.16720127384695743,0.004369187176133791,0.998200316230456,0.9693815271059673,0.9904513888888888,0.9930555555555556,0.95,60,0.023565106104231542,0.0087336883518017,0.9257466902335485,1.0,1.0,0.30420333173422687,0.02996781763447597,0.8649726299058019,1.0,1.0,0.27281802518133924,2.871281311062797e-05,9.570937703542656e-07,0.2500159214467044,0.01938018766231835,0.9916666666666667,0.8998122155666352,0.055339859798550606,0.14735502749681473,1.0,1.0,0.01493562845280394,0.9854166666666667,0.8573091149330139,0.03914501890540123,0.0074872346594929695,1.0,1.0,0.014636536068671073,0.9875,0.9157675981521607,0.038254058361053465,0.008459770679473877,1.0,1.0,0.02217317099760597,1.0,1.0155495166778565,0.03036942481994629,0.02163147199898958,1.0,1.0,0.03300320162670687,1.0,0.6875512599945068,0.028772393098244302,0.02878055549584902,1.0,1.0,0.023014894224858532,1.0,0.7517486035823822,0.03949307026341557,0.1097263399977237,1.0,1.0
9,0.22739458633586765,0.22098601890934838,0.1637059839649333,0.004937639669393926,0.9975817925400204,0.9713313827912012,0.9888888888888889,0.9932291666666667,0.9666666666666667,60,0.02309375931508839,0.008373170233486842,1.030514696902699,1.0,1.0,0.26622889131571337,0.02598911744699014,1.022505513862171,1.0,1.0,0.2512255472979245,2.815870464083723e-05,9.386234880279076e-07,0.2500159214467044,0.01699728481665564,0.9895833333333334,0.9142059028148651,0.044575059320777655,0.091160025075078,1.0,1.0,0.012981128785759211,0.984375,1.0326655864715577,0.03531388342380524,0.007684208825230599,1.0,1.0,0.013086091166284557,0.9895833333333334,1.1104402542114258,0.03822656720876694,0.007793976366519928,1.0,1.0,0.020307488394125054,1.0,0.9768879294395447,0.03298741299659014,0.02425958849489689,1.0,1.0,0.030333455042758337,1.0,0.9527824475215032,0.02560931329543774,0.022649563275850736,1.0,1.0,0.02157971279035943,1.0,1.1236480176448822,0.03121775612235069,0.07766720890067517,1.0,1.0
10,0.22045895229093732,0.21834015680683982,0.1627220604982641,0.0043506996963211956,0.9977099786202113,0.9713860518402524,0.990625,0.99375,1.0,60,0.022417803610571555,0.008483155053626332,0.914243397447798,1.0,1.0,0.2691741370785553,0.026529973537652893,0.8130022477259679,1.0,1.0,0.23359035088835445,2.7513389914035713e-05,9.171129971345238e-07,0.23359035088835445,0.017776057636365295,0.9875,0.818040332198143,0.05128831472247839,0.08808346875011921,1.0,1.0,0.013773536773320908,0.9791666666666666,0.6561813831329346,0.04519555941224098,0.011517516523599624,1.0,1.0,0.014461528690299019,0.984375,0.9709071159362793,0.039440809190273284,0.009068432822823524,1.0,1.0,0.021151410051000616,1.0,0.8792183250188828,0.02594995447434485,0.02360143568366766,1.0,1.0,0.02960907433492442,1.0,0.5933666687745315,0.025661752774165228,0.025644859442344077,1.0,1.0,0.02253307027470631,1.0,0.8834272563457489,0.030051293224096297,0.08179003298282624,1.0,1.0
