episode,task_type,target_id,instruction,visual_perturbation,perturbation,ensemble_mode,temporal_profile,ensemble_decay,max_prediction_age,grounding_shift_reset_threshold_m,execution_mode,uses_privileged_execution_assistance,uses_privileged_perturbation_oracle,scene_seed,scene_rejections,task_success,clean_success,task_success_step,clean_success_step,wrong_object_contact,wrong_object_contact_ids,first_wrong_object_contact_step,steps,termination,failure_category,mean_grounding_error_cm,max_grounding_error_cm,final_grounding_error_cm,final_predicted_target_x,final_predicted_target_y,final_predicted_target_z,mean_target_class_accuracy,min_eef_target_distance,gripper_close_step,target_contact,first_target_contact_step,target_motion_detected,grasped_once,first_grasp_step,first_grasp_lost_step,collateral_object_contact,collateral_contact_ids,wrong_object_moved,wrong_object_moved_ids,first_wrong_object_movement_step,max_wrong_object_displacement,max_wrong_displacement_by_id_json,max_target_height,min_target_height,min_target_uprightness,target_toppled,final_target_height,push_forward_displacement,push_lateral_displacement,action_clip_rate,safety_intervention_rate,workspace_violation_rate,recovery_cycles,mean_pose_action_norm,latest_only_rate,mean_oldest_prediction_age,max_oldest_prediction_age,mean_temporal_contributors,mean_latest_prediction_weight,phase_transition_count,grounding_shift_resets,grounding_reset_steps_json,stale_predictions_discarded,diagnostic_trace_enabled,phase_transition_trace_json,contact_event_trace_json,target_prediction_trace_json
1,pick,B,Pick up the blue ball,clean,clean,temporal,robust,0.75,3,0.01,raw,0,0,2057685504,1,1,1,77,83,0,,0,83,success,success,1.0121222744853486,1.5910060938291368,1.5071717756881609,0.02541324310004711,-0.10041104257106781,0.9115744233131409,1.0,0.0014919843832525038,63,1,67,1,1,68,0,0,,0,,0,0.0033903448332439634,"{""A"":0.0033903448332439634,""C"":0.002375771195746358}",0.9064351987636037,0.8254710128019425,1.0,0,0.9064351987636037,0.0,0.003958782053704891,0.0,0.0,0.0,0,0.3905506631262131,0.6265060240963856,1.0481927710843373,3,2.0481927710843375,0.8411661819397334,3,4,[],349,0,[],[],[]
2,pick,C,Pick up the green cylinder,clean,clean,temporal,robust,0.75,3,0.01,raw,0,0,960747980,0,1,1,79,85,0,,0,85,success,success,0.5603323329377659,1.1826319093862339,0.5824025529516443,0.08797325193881989,-0.08840613067150116,0.9052373766899109,1.0,0.0014440437784906562,66,1,68,1,1,70,0,0,,0,,0,0.0033903448332439634,"{""A"":0.0033903448332439634,""B"":0.002415413534298083}",0.9054311565376019,0.8216241695688168,0.9999792983497002,0,0.9054311565376019,0.0,0.0064872476295905765,0.058823529411764705,0.0,0.0,0,0.41804670252956816,0.6235294117647059,1.0588235294117647,3,2.0588235294117645,0.8396714384731537,3,2,[],275,0,[],[],[]
3,push,C,Push the green cylinder away from the robot,clean,clean,temporal,robust,0.75,3,0.01,raw,0,0,1519722297,1,1,1,86,86,0,,0,86,success,success,0.4155722305966598,1.2649266752695139,1.242666359617066,0.20482447743415833,0.1335514634847641,0.8261578679084778,1.0,0.039818307302471184,1,1,71,1,0,0,0,0,,0,,0,0.0033903448332439634,"{""A"":0.0033903448332439634,""B"":0.002415413534298083}",0.8246498193993752,0.8216139246342736,0.9936750673514325,0,0.8235756187591613,0.0791459053535169,0.03437970286745295,0.0,0.19767441860465115,0.0,0,0.45912499533658474,0.6046511627906976,1.058139534883721,3,2.058139534883721,0.8378052438301565,3,2,[],314,0,[],[],[]
4,push,B,Push the blue ball away from the robot,clean,clean,temporal,robust,0.75,3,0.01,raw,0,0,1726312795,3,1,1,80,80,0,,0,80,success,success,1.2591731335519842,1.9139431969385488,1.0505099471358368,-0.010457295924425125,-0.1923961490392685,0.8261210322380066,1.0,0.03827730823485053,1,1,69,1,0,0,0,0,,0,,0,0.0033903448332439634,"{""A"":0.0033903448332439634,""C"":0.002370124358711979}",0.8280000000000001,0.8252317486450957,1.0,0,0.8255327357376199,0.0805049692446302,0.002151718260208967,0.25,0.0,0.0,0,0.4889041511553948,0.5125,1.375,3,2.375,0.7911693118649513,3,5,[],266,0,[],[],[]
5,pick,A,Pick up the red cube,clean,clean,temporal,robust,0.75,3,0.01,raw,0,0,1316091363,0,1,1,82,88,0,,0,88,success,success,0.650763133463644,1.9682651168793888,1.1919390579731395,0.13451239466667175,-0.03915095701813698,0.909890353679657,1.0,0.001449056427081644,68,1,72,1,1,74,0,0,,0,,0,0.002415413534298083,"{""B"":0.002415413534298083,""C"":0.002365240102592125}",0.9055261256928424,0.8206096551667561,0.9997370825785765,0,0.9055261256928424,0.0,0.0008014478519602835,0.10227272727272728,0.0,0.0,0,0.46608132409225705,0.5909090909090909,1.1590909090909092,3,2.159090909090909,0.8249226016715782,3,3,[],298,0,[],[],[]
6,push,B,Push the blue ball away from the robot,clean,clean,temporal,robust,0.75,3,0.01,raw,0,0,1895231543,0,1,1,79,79,0,,0,79,success,success,0.8919822839471659,1.4766074259532618,0.813843060966379,0.2142578661441803,0.12389495223760605,0.8260866403579712,1.0,0.03601103948891994,1,1,68,1,0,0,0,0,,0,,0,0.0033903448332439634,"{""A"":0.0033903448332439634,""C"":0.002380188033603369}",0.8280000000000001,0.825584586465702,1.0,0,0.8258985539791606,0.08995600507878136,0.008923055627448516,0.11392405063291139,0.02531645569620253,0.0,0,0.47526839523950776,0.5443037974683544,1.2151898734177216,3,2.2151898734177213,0.8126117443325378,3,4,[],283,0,[],[],[]
7,pick,C,Pick up the green cylinder,clean,clean,temporal,robust,0.75,3,0.01,raw,0,0,1231458924,0,1,1,80,86,0,,0,86,success,success,0.642230915942289,2.1779537351734874,1.4889873854328994,0.07706193625926971,-0.1152673214673996,0.9071772694587708,1.0,0.0031072431066959338,67,1,71,1,1,71,0,0,,0,,0,0.0033903448332439634,"{""A"":0.0033903448332439634,""B"":0.002415413534298083}",0.905642502532478,0.8216437189987028,0.9999569059931446,0,0.905642502532478,0.0,0.0034730460564176744,0.046511627906976744,0.0,0.0,0,0.424499913696624,0.6162790697674418,1.0813953488372092,3,2.0813953488372094,0.8363645516213752,3,6,[],527,0,[],[],[]
8,push,C,Push the green cylinder away from the robot,clean,clean,temporal,robust,0.75,3,0.01,raw,0,0,1215158456,10,1,1,76,76,0,,0,76,success,success,0.6255941729152864,1.3757697747013564,0.605159997423725,-0.041411712765693665,0.09735488146543503,0.822235107421875,1.0,0.038488827075302656,1,1,62,1,0,0,0,0,,0,,0,0.0033903448332439634,"{""A"":0.0033903448332439634,""B"":0.002415413534298083}",0.8240000000000001,0.8216374405988891,0.9999379009168479,0,0.8227849307508824,0.07683056837692974,0.01538194697561728,0.11842105263157894,0.27631578947368424,0.0,0,0.4993430961938469,0.6710526315789473,0.9078947368421053,3,1.9078947368421053,0.8616462906010085,3,3,[],297,0,[],[],[]
9,pick,B,Pick up the blue ball,clean,clean,temporal,robust,0.75,3,0.01,raw,0,0,2018771612,2,1,1,79,85,0,,0,85,success,success,1.105404079824276,1.5932122526717114,0.47339994811075903,0.03933684527873993,0.11872516572475433,0.9030947685241699,1.0,0.0024688812639500676,65,1,68,1,1,70,0,0,,0,,0,0.0033903448332439634,"{""A"":0.0033903448332439634,""C"":0.0023722063402846004}",0.9071644030321951,0.8254919378133337,1.0,0,0.9071644030321951,0.0,0.003805346365358924,0.0,0.0,0.0,0,0.38632507927322934,0.6352941176470588,1.0235294117647058,3,2.023529411764706,0.8449034482470338,3,3,[],281,0,[],[],[]
10,push,A,Push the red cube away from the robot,clean,clean,temporal,robust,0.75,3,0.01,raw,0,0,533077531,0,1,1,114,114,0,,0,114,success,success,1.3740076374504964,3.0935477798693882,2.8528035869033683,-0.12415353953838348,0.17844119668006897,0.8231307864189148,1.0,0.03190374725884705,1,1,86,1,1,99,103,0,,0,,0,0.002415413534298083,"{""B"":0.002415413534298083,""C"":0.0023583584760708}",0.826191309350339,0.8206096551667561,0.9758597290492617,0,0.826191309350339,0.0786350427612778,0.005589234749662027,0.14035087719298245,0.0,0.0,0,0.45226258813502207,0.5701754385964912,1.236842105263158,3,2.236842105263158,0.814138755675101,2,4,[],508,0,[],[],[]
