filename,dataset_version,split,task_type,target_id,instruction,scene_seed,collection_seed,success_step,wrong_object_contact
ep_00001.npz,v2.clean,train,push,C,Push the green cylinder away from the robot,1901387285,20260817,75,0
ep_00002.npz,v2.clean,train,pick,A,Pick up the red cube,324207262,20260817,117,0
ep_00003.npz,v2.clean,train,push,A,Push the red cube away from the robot,202112556,20260817,88,0
ep_00004.npz,v2.clean,test,push,A,Push the red cube away from the robot,1571131358,20260817,80,0
ep_00005.npz,v2.clean,train,pick,C,Pick up the green cylinder,1293020425,20260817,76,0
ep_00006.npz,v2.clean,train,pick,A,Pick up the red cube,296092869,20260817,85,0
ep_00007.npz,v2.clean,train,pick,A,Pick up the red cube,1051862198,20260817,82,0
ep_00008.npz,v2.clean,train,pick,B,Pick up the blue ball,105026430,20260817,84,0
ep_00009.npz,v2.clean,train,pick,B,Pick up the blue ball,352243426,20260817,81,0
ep_00010.npz,v2.clean,test,pick,B,Pick up the blue ball,1157233161,20260817,84,0
ep_00011.npz,v2.clean,train,pick,C,Pick up the green cylinder,59761288,20260817,73,0
ep_00012.npz,v2.clean,train,pick,B,Pick up the blue ball,1478035935,20260817,78,0
ep_00013.npz,v2.clean,train,pick,C,Pick up the green cylinder,661323745,20260817,84,0
ep_00014.npz,v2.clean,train,pick,C,Pick up the green cylinder,2014049477,20260817,76,0
ep_00015.npz,v2.clean,train,pick,B,Pick up the blue ball,1360254611,20260817,77,0
ep_00016.npz,v2.clean,val,pick,B,Pick up the blue ball,1659564069,20260817,81,0
ep_00017.npz,v2.clean,train,push,A,Push the red cube away from the robot,1081926925,20260817,89,0
ep_00018.npz,v2.clean,train,pick,A,Pick up the red cube,311308036,20260817,82,0
ep_00019.npz,v2.clean,train,pick,C,Pick up the green cylinder,110568795,20260817,83,0
ep_00020.npz,v2.clean,test,pick,B,Pick up the blue ball,704511144,20260817,75,0
ep_00021.npz,v2.clean,train,pick,A,Pick up the red cube,1140628306,20260817,85,0
ep_00022.npz,v2.clean,train,pick,A,Pick up the red cube,1868797538,20260817,87,0
ep_00023.npz,v2.clean,train,pick,C,Pick up the green cylinder,1744256813,20260817,82,0
ep_00024.npz,v2.clean,test,pick,B,Pick up the blue ball,203087725,20260817,70,0
ep_00025.npz,v2.clean,train,pick,C,Pick up the green cylinder,1133196927,20260817,80,0
ep_00026.npz,v2.clean,train,push,A,Push the red cube away from the robot,432895907,20260817,74,0
