filename,split,task_type,target_id,scene_seed,collection_seed,recovery_type,perturbation_step,perturbation_delta_m,retry_count,v3_recovery_version
ep_00001.npz,train,pick,B,120644321,20261201,target_displacement,36,0.019999999552965164,0,v3.recovery.1
ep_00002.npz,train,pick,C,758740232,20261201,target_displacement,29,0.019999999552965164,0,v3.recovery.1
ep_00003.npz,train,pick,C,332683069,20261201,forced_pick_miss,0,0.0,1,v3.recovery.1
ep_00004.npz,train,pick,C,754013509,20261201,target_displacement,31,0.029999999329447746,0,v3.recovery.1
ep_00005.npz,train,pick,A,403642012,20261201,target_displacement,28,0.019999999552965164,0,v3.recovery.1
ep_00006.npz,train,pick,B,174450997,20261201,forced_pick_miss,0,0.0,1,v3.recovery.1
ep_00007.npz,val,pick,B,1996169635,20261201,target_displacement,29,0.030000001192092896,0,v3.recovery.1
ep_00008.npz,train,pick,C,1430009448,20261201,forced_pick_miss,0,0.0,1,v3.recovery.1
ep_00009.npz,val,pick,C,1143942708,20261201,target_displacement,23,0.03999999910593033,0,v3.recovery.1
ep_00010.npz,val,push,A,632016368,20261201,target_displacement,23,0.019999999552965164,0,v3.recovery.1
ep_00011.npz,train,pick,A,1765437306,20261201,forced_pick_miss,0,0.0,1,v3.recovery.1
ep_00012.npz,train,push,B,31410081,20261201,target_displacement,30,0.019999999552965164,0,v3.recovery.1
ep_00013.npz,train,pick,B,374151124,20261201,forced_pick_miss,0,0.0,1,v3.recovery.1
ep_00014.npz,train,pick,A,1867842516,20261201,target_displacement,34,0.029999999329447746,0,v3.recovery.1
ep_00015.npz,train,pick,C,552750136,20261201,forced_pick_miss,0,0.0,1,v3.recovery.1
ep_00016.npz,train,push,A,684738258,20261201,forced_push_miss,0,0.0,1,v3.recovery.1
ep_00017.npz,train,pick,C,907241927,20261201,target_displacement,30,0.05000000074505806,0,v3.recovery.1
ep_00018.npz,train,pick,C,748111155,20261201,forced_pick_miss,0,0.0,1,v3.recovery.1
ep_00019.npz,val,pick,B,1733528989,20261201,target_displacement,21,0.03999999910593033,0,v3.recovery.1
ep_00020.npz,test,pick,B,802263163,20261201,forced_pick_miss,0,0.0,1,v3.recovery.1
ep_00021.npz,train,pick,B,1119901292,20261201,target_displacement,28,0.05000000074505806,0,v3.recovery.1
ep_00022.npz,train,pick,B,1794941975,20261201,forced_pick_miss,0,0.0,1,v3.recovery.1
ep_00023.npz,train,pick,A,543097755,20261201,forced_pick_miss,0,0.0,1,v3.recovery.1
ep_00024.npz,val,pick,B,1692675175,20261201,target_displacement,35,0.019999999552965164,0,v3.recovery.1
ep_00025.npz,train,pick,A,738056880,20261201,target_displacement,39,0.03999999910593033,0,v3.recovery.1
ep_00026.npz,train,pick,B,1041910046,20261201,forced_pick_miss,0,0.0,1,v3.recovery.1
ep_00027.npz,val,pick,B,1470338685,20261201,target_displacement,25,0.029999999329447746,0,v3.recovery.1
ep_00028.npz,train,pick,B,1975848239,20261201,forced_pick_miss,0,0.0,1,v3.recovery.1
ep_00029.npz,train,pick,B,1687398624,20261201,target_displacement,38,0.03999999910593033,0,v3.recovery.1
ep_00030.npz,train,pick,C,2118831207,20261201,target_displacement,33,0.019999999552965164,0,v3.recovery.1
ep_00031.npz,train,pick,B,855189192,20261201,forced_pick_miss,0,0.0,1,v3.recovery.1
ep_00032.npz,train,pick,A,1061117832,20261201,forced_pick_miss,0,0.0,1,v3.recovery.1
ep_00033.npz,train,pick,B,1625457787,20261201,target_displacement,27,0.05000000074505806,0,v3.recovery.1
ep_00034.npz,train,pick,A,1248131822,20261201,target_displacement,20,0.05000000074505806,0,v3.recovery.1
ep_00035.npz,train,pick,A,786709273,20261201,forced_pick_miss,0,0.0,1,v3.recovery.1
ep_00036.npz,train,pick,A,411522564,20261201,target_displacement,36,0.019999999552965164,0,v3.recovery.1
ep_00037.npz,train,pick,C,1876708227,20261201,forced_pick_miss,0,0.0,1,v3.recovery.1
ep_00038.npz,train,pick,C,917727584,20261201,target_displacement,27,0.030000001192092896,0,v3.recovery.1
ep_00039.npz,test,pick,B,299096910,20261201,forced_pick_miss,0,0.0,1,v3.recovery.1
ep_00040.npz,train,push,B,202443994,20261201,forced_push_miss,0,0.0,1,v3.recovery.1
ep_00041.npz,train,pick,B,1822716104,20261201,target_displacement,37,0.019999999552965164,0,v3.recovery.1
ep_00042.npz,train,pick,C,1778284760,20261201,forced_pick_miss,0,0.0,1,v3.recovery.1
ep_00043.npz,test,pick,A,480596541,20261201,forced_pick_miss,0,0.0,1,v3.recovery.1
ep_00044.npz,train,pick,C,399749908,20261201,target_displacement,25,0.03999999910593033,0,v3.recovery.1
ep_00045.npz,train,pick,B,1931614661,20261201,forced_pick_miss,0,0.0,1,v3.recovery.1
ep_00046.npz,train,pick,A,1044701261,20261201,target_displacement,37,0.029999999329447746,0,v3.recovery.1
ep_00047.npz,train,pick,C,1688707116,20261201,forced_pick_miss,0,0.0,1,v3.recovery.1
ep_00048.npz,train,pick,C,1768744993,20261201,target_displacement,31,0.05000000074505806,0,v3.recovery.1
ep_00049.npz,test,push,C,1949096682,20261201,target_displacement,36,0.019999999552965164,0,v3.recovery.1
ep_00050.npz,train,pick,B,1487442056,20261201,target_displacement,26,0.029999999329447746,0,v3.recovery.1
ep_00051.npz,train,push,B,751921222,20261201,target_displacement,23,0.029999999329447746,0,v3.recovery.1
ep_00052.npz,test,push,B,1194862710,20261201,forced_push_miss,0,0.0,1,v3.recovery.1
ep_00053.npz,train,pick,B,772380378,20261201,forced_pick_miss,0,0.0,1,v3.recovery.1
ep_00054.npz,train,pick,C,1200443593,20261201,forced_pick_miss,0,0.0,1,v3.recovery.1
ep_00055.npz,train,pick,A,498763133,20261201,forced_pick_miss,0,0.0,1,v3.recovery.1
ep_00056.npz,val,pick,C,889281286,20261201,target_displacement,27,0.019999999552965164,0,v3.recovery.1
ep_00057.npz,val,push,A,1702107747,20261201,target_displacement,31,0.029999999329447746,0,v3.recovery.1
ep_00058.npz,train,push,A,1320688616,20261201,forced_push_miss,0,0.0,1,v3.recovery.1
ep_00059.npz,train,pick,A,2061324090,20261201,target_displacement,26,0.03999999910593033,0,v3.recovery.1
ep_00060.npz,train,push,A,1272296736,20261201,target_displacement,23,0.03999999910593033,0,v3.recovery.1
ep_00061.npz,train,pick,B,1072557404,20261201,target_displacement,25,0.03999999910593033,0,v3.recovery.1
ep_00062.npz,train,pick,B,2059863651,20261201,forced_pick_miss,0,0.0,1,v3.recovery.1
ep_00063.npz,train,pick,A,508804717,20261201,forced_pick_miss,0,0.0,1,v3.recovery.1
ep_00064.npz,train,pick,C,1322022791,20261201,forced_pick_miss,0,0.0,1,v3.recovery.1
ep_00065.npz,train,pick,A,1110214858,20261201,target_displacement,31,0.05000000074505806,0,v3.recovery.1
ep_00066.npz,train,pick,B,298939836,20261201,target_displacement,32,0.05000000074505806,0,v3.recovery.1
ep_00067.npz,train,pick,A,1172408076,20261201,forced_pick_miss,0,0.0,1,v3.recovery.1
ep_00068.npz,train,push,B,217693185,20261201,target_displacement,32,0.03999999910593033,0,v3.recovery.1
ep_00069.npz,train,pick,C,1798242393,20261201,target_displacement,35,0.030000001192092896,0,v3.recovery.1
ep_00070.npz,train,pick,C,986627241,20261201,forced_pick_miss,0,0.0,1,v3.recovery.1
ep_00071.npz,train,pick,C,947703561,20261201,target_displacement,34,0.03999999910593033,0,v3.recovery.1
ep_00072.npz,train,pick,B,1029593026,20261201,forced_pick_miss,0,0.0,1,v3.recovery.1
ep_00073.npz,train,pick,C,543153527,20261201,forced_pick_miss,0,0.0,1,v3.recovery.1
ep_00074.npz,train,pick,A,1763259357,20261201,target_displacement,37,0.019999999552965164,0,v3.recovery.1
ep_00075.npz,train,pick,A,2091983555,20261201,forced_pick_miss,0,0.0,1,v3.recovery.1
ep_00076.npz,val,pick,A,837458520,20261201,target_displacement,37,0.029999999329447746,0,v3.recovery.1
ep_00077.npz,train,pick,A,306397907,20261201,forced_pick_miss,0,0.0,1,v3.recovery.1
ep_00078.npz,train,push,A,714745928,20261201,forced_push_miss,0,0.0,1,v3.recovery.1
ep_00079.npz,train,pick,B,104879678,20261201,target_displacement,25,0.019999999552965164,0,v3.recovery.1
ep_00080.npz,train,pick,B,1462325449,20261201,forced_pick_miss,0,0.0,1,v3.recovery.1
ep_00081.npz,val,pick,A,626857087,20261201,target_displacement,30,0.03999999910593033,0,v3.recovery.1
ep_00082.npz,test,pick,A,357017497,20261201,forced_pick_miss,0,0.0,1,v3.recovery.1
ep_00083.npz,train,pick,B,460881756,20261201,target_displacement,26,0.029999999329447746,0,v3.recovery.1
ep_00084.npz,train,pick,A,2014216284,20261201,target_displacement,37,0.05000000074505806,0,v3.recovery.1
ep_00085.npz,train,pick,B,1525864154,20261201,forced_pick_miss,0,0.0,1,v3.recovery.1
ep_00086.npz,train,pick,C,983095077,20261201,target_displacement,37,0.05000000074505806,0,v3.recovery.1
