source_run,benchmark_seed,perturbation_seed,episode,task_type,target_id,instruction,visual_perturbation,perturbation,ensemble_mode,temporal_profile,ensemble_decay,max_prediction_age,grounding_shift_reset_threshold_m,execution_mode,uses_privileged_execution_assistance,uses_privileged_perturbation_oracle,scene_seed,scene_rejections,task_success,clean_success,task_success_step,clean_success_step,wrong_object_contact,wrong_object_contact_ids,first_wrong_object_contact_step,steps,termination,failure_category,mean_grounding_error_cm,max_grounding_error_cm,final_grounding_error_cm,final_predicted_target_x,final_predicted_target_y,final_predicted_target_z,mean_target_class_accuracy,min_eef_target_distance,gripper_close_step,target_contact,first_target_contact_step,target_motion_detected,grasped_once,first_grasp_step,first_grasp_lost_step,collateral_object_contact,collateral_contact_ids,wrong_object_moved,wrong_object_moved_ids,first_wrong_object_movement_step,max_wrong_object_displacement,max_wrong_displacement_by_id_json,max_target_height,min_target_height,min_target_uprightness,target_toppled,final_target_height,push_forward_displacement,push_lateral_displacement,action_clip_rate,safety_intervention_rate,workspace_violation_rate,recovery_cycles,mean_pose_action_norm,latest_only_rate,mean_oldest_prediction_age,max_oldest_prediction_age,mean_temporal_contributors,mean_latest_prediction_weight,phase_transition_count,grounding_shift_resets,grounding_reset_steps_json,stale_predictions_discarded,diagnostic_trace_enabled,phase_transition_trace_json,contact_event_trace_json,target_prediction_trace_json,perturbation_event_count,perturbation_type,perturbation_protocol_version,perturbation_level,protocol_collision_integrity_passed,injected,injection_step,injection_phase,requested_delta_m,selected_direction_x,selected_direction_y,actual_delta_x_m,actual_delta_y_m,actual_delta_z_m,actual_delta_norm_m,grounding_error_before_injection_cm,grounding_error_after_injection_cm,max_grounding_error_after_injection_cm,post_injection_contact_latency,reacquired_within_0_5cm,reacquisition_latency_0_5cm,reacquired_within_1_0cm,reacquisition_latency_1_0cm,reacquired_within_2_0cm,reacquisition_latency_2_0cm,reacquisition_latency,benchmark_level,benchmark_mode
seed_1,20260801,20260802,1,push,B,Push the blue ball away from the robot,clean,target-displacement,temporal,robust,0.75,3,0.01,raw,0,1,1485225831,13,0,0,0,0,0,,0,105,recovery_limit,recovery_limit,0.5654703861339369,1.9735668440975653,0.4951488334096495,-0.11141407489776611,-0.13622193038463593,0.8258028030395508,1.0,0.04087580084111597,1,1,60,1,0,0,0,0,,0,,0,0.0033903448332439634,"{""A"":0.0033903448332439634,""C"":0.0023384603578408634}",0.8280000000000001,0.8244134569064124,1.0,0,0.825910842528766,0.02369397459470268,0.0003357393514338688,0.23809523809523808,0.0,0.0,3,0.5319946344470836,0.7047619047619048,0.8285714285714286,3,1.8285714285714285,0.8744456485809321,7,1,[],190,0,[],[],[],0,target_displacement,target-displacement.v2,0.0,1,0,0,-1,0.0,-0.9951428075501908,0.09844182333299206,0.0,0.0,0.0,0.0,,,,-1,0,-1,0,-1,0,-1,-1,0.0,temporal
seed_1,20260801,20260802,2,push,C,Push the green cylinder away from the robot,clean,target-displacement,temporal,robust,0.75,3,0.01,raw,0,1,423671072,20,1,1,87,87,0,,0,87,success,success,0.4549616183177978,0.8893688376569316,0.6372360786745748,0.19596780836582184,0.12565934658050537,0.8248707056045532,1.0,0.04055957431847758,1,1,72,1,0,0,0,0,,0,,0,0.0033903448332439634,"{""A"":0.0033903448332439634,""B"":0.002415413534298083}",0.8240000000000001,0.8216448568716477,0.9999871898402548,0,0.8229709630009393,0.08884792038713152,0.005553448212391576,0.011494252873563218,0.11494252873563218,0.0,0,0.44553400692228634,0.6091954022988506,1.103448275862069,3,2.103448275862069,0.8331336851569939,2,2,[],244,0,[],[],[],0,target_displacement,target-displacement.v2,0.0,1,0,0,-1,0.0,0.5555702330196018,-0.8314696123025455,0.0,0.0,0.0,0.0,,,,-1,0,-1,0,-1,0,-1,-1,0.0,temporal
seed_1,20260801,20260802,3,push,C,Push the green cylinder away from the robot,clean,target-displacement,temporal,robust,0.75,3,0.01,raw,0,1,375455843,37,1,1,88,88,0,,0,88,success,success,0.6768084097829538,1.5729458880208422,1.5729458880208422,0.20220167934894562,-0.11164149641990662,0.8251242637634277,1.0,0.039422557770257015,1,1,70,1,0,0,0,0,,0,,0,0.0033903448332439634,"{""A"":0.0033903448332439634,""B"":0.002415413534298083}",0.8324805503105145,0.8216317593517843,0.8669599331915379,0,0.8324805503105145,0.07748714076172333,0.02206403717190322,0.0,0.14772727272727273,0.0,0,0.4263002880033591,0.625,1.0568181818181819,3,2.0568181818181817,0.8400835390845258,2,1,[],190,0,[],[],[],0,target_displacement,target-displacement.v2,0.0,1,0,0,-1,0.0,-0.2879181526539416,-0.9576550200214802,0.0,0.0,0.0,0.0,,,,-1,0,-1,0,-1,0,-1,-1,0.0,temporal
seed_1,20260801,20260802,4,push,C,Push the green cylinder away from the robot,clean,target-displacement,temporal,robust,0.75,3,0.01,raw,0,1,553518490,0,1,1,82,82,0,,0,82,success,success,0.4323409978219326,0.9010053978888093,0.8574792354648906,0.15395377576351166,-0.1336757391691208,0.8234307765960693,1.0,0.039610428089132954,1,1,68,1,0,0,0,0,,0,,0,0.0033903448332439634,"{""A"":0.0033903448332439634,""B"":0.002415413534298083}",0.8245835139605686,0.8216285617657116,0.9982906361692585,0,0.8231630614462868,0.08350934460382801,0.022253688672789984,0.0,0.24390243902439024,0.0,0,0.42034542411195963,0.6463414634146342,0.9878048780487805,3,1.9878048780487805,0.8500760336897253,2,0,[],0,0,[],[],[],0,target_displacement,target-displacement.v2,0.0,1,0,0,-1,0.0,-0.3714944786067276,-0.9284351632530489,0.0,0.0,0.0,0.0,,,,-1,0,-1,0,-1,0,-1,-1,0.0,temporal
seed_1,20260801,20260802,5,pick,B,Pick up the blue ball,clean,target-displacement,temporal,robust,0.75,3,0.01,raw,0,1,1506469058,0,1,1,79,84,0,,0,84,success,success,0.6943590856267191,1.3740860381568838,0.7601982019824585,0.030661646276712418,0.11238924413919449,0.8954620957374573,1.0,0.0019642040772331897,65,1,69,1,1,70,0,0,,0,,0,0.0033903448332439634,"{""A"":0.0033903448332439634,""C"":0.002365868825539128}",0.9032622052353989,0.8254887776939689,1.0,0,0.9032622052353989,0.0,0.0032026522548498785,0.03571428571428571,0.0,0.0,0,0.4072722361995228,0.6309523809523809,1.0357142857142858,3,2.0357142857142856,0.8430570607261652,3,4,[],300,0,[],[],[],0,target_displacement,target-displacement.v2,0.0,1,0,0,-1,0.0,-0.9807852804032304,-0.19509032201612836,0.0,0.0,0.0,0.0,,,,-1,0,-1,0,-1,0,-1,-1,0.0,temporal
seed_1,20260801,20260802,6,push,C,Push the green cylinder away from the robot,clean,target-displacement,temporal,robust,0.75,3,0.01,raw,0,1,2061678707,14,1,1,85,85,0,,0,85,success,success,0.5987773118666205,1.6165249624414961,1.4164967241844657,0.15685515105724335,0.196441650390625,0.8253171443939209,1.0,0.039866890510577624,1,1,71,1,0,0,0,0,,0,,0,0.0033903448332439634,"{""A"":0.0033903448332439634,""B"":0.002415413534298083}",0.8263986341679925,0.8216412458458403,0.9883780730888247,0,0.8263986341679925,0.08239363213542253,0.023383661488106926,0.023529411764705882,0.24705882352941178,0.0,0,0.4484494375291684,0.6235294117647059,1.0588235294117647,3,2.0588235294117645,0.8396714384731537,2,2,[],260,0,[],[],[],0,target_displacement,target-displacement.v2,0.0,1,0,0,-1,0.0,-0.5252375501072586,0.850955648642939,0.0,0.0,0.0,0.0,,,,-1,0,-1,0,-1,0,-1,-1,0.0,temporal
seed_1,20260801,20260802,7,pick,B,Pick up the blue ball,clean,target-displacement,temporal,robust,0.75,3,0.01,raw,0,1,1419313632,0,1,1,80,86,0,,0,86,success,success,2.0469660605620863,3.2617545870085993,0.7083483282798256,-0.12061038613319397,-0.00406017666682601,0.9054898619651794,1.0,0.0033273471909093075,65,1,43,1,1,71,0,0,,0,,0,0.0033903448332439634,"{""A"":0.0033903448332439634,""C"":0.002363631911915866}",0.9050241618715497,0.8251656764658657,1.0,0,0.9050241618715497,0.0,0.021546925068612652,0.0,0.0,0.0,0,0.30438739598942594,0.7325581395348837,0.7325581395348837,3,1.7325581395348837,0.8880762761306541,3,11,[],738,0,[],[],[],0,target_displacement,target-displacement.v2,0.0,1,0,0,-1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,-1,0,-1,0,-1,0,-1,-1,0.0,temporal
seed_1,20260801,20260802,8,push,B,Push the blue ball away from the robot,clean,target-displacement,temporal,robust,0.75,3,0.01,raw,0,1,1070560489,3,1,1,149,149,0,,0,149,success,success,1.4161454499084873,3.1043072489176167,2.025618383347765,0.024705760180950165,0.21838518977165222,0.8252202868461609,1.0,0.03392444598377249,1,1,65,1,1,145,147,0,,0,,0,0.0033903448332439634,"{""A"":0.0033903448332439634,""C"":0.002371489401239374}",0.8280000000000001,0.8248963840119975,1.0,0,0.8248963840119975,0.09794552142262257,0.010122483875593086,0.0738255033557047,0.0,0.0,1,0.4281275332165692,0.5503355704697986,1.2483221476510067,3,2.248322147651007,0.811105388448836,10,6,[],474,0,[],[],[],0,target_displacement,target-displacement.v2,0.0,1,0,0,-1,0.0,-0.8451739699453478,0.5344913100573482,0.0,0.0,0.0,0.0,,,,-1,0,-1,0,-1,0,-1,-1,0.0,temporal
seed_1,20260801,20260802,9,push,B,Push the blue ball away from the robot,clean,target-displacement,temporal,robust,0.75,3,0.01,raw,0,1,1348464606,1,0,0,0,0,0,,0,200,horizon,insufficient_push_distance,1.2298511407607333,3.014519903840465,0.5871273924491935,-0.12342604994773865,-0.14408431947231293,0.8259419202804565,1.0,0.03464401735192884,1,1,77,1,0,0,0,0,,0,,0,0.0033903448332439634,"{""A"":0.0033903448332439634,""C"":0.00237277156685778}",0.8280000000000001,0.8242258105606064,1.0,0,0.8259108425287653,0.03449706693295413,0.0004755268393224552,0.05,0.02,0.0,2,0.39040618840489827,0.78,0.63,3,1.63,0.9051771115043025,8,6,[],612,0,[],[],[],0,target_displacement,target-displacement.v2,0.0,1,0,0,-1,0.0,-0.9885028795232741,0.1512020409061849,0.0,0.0,0.0,0.0,,,,-1,0,-1,0,-1,0,-1,-1,0.0,temporal
seed_1,20260801,20260802,10,push,B,Push the blue ball away from the robot,clean,target-displacement,temporal,robust,0.75,3,0.01,raw,0,1,1982507234,7,1,1,75,75,0,,0,75,success,success,1.291115405621571,1.9771119596070146,0.6965013090674692,0.0930052101612091,-0.1795423924922943,0.8257490992546082,1.0,0.034997791600448455,1,0,0,1,0,0,0,0,,0,,0,0.0033903448332439634,"{""A"":0.0033903448332439634,""C"":0.002373610212769684}",0.8280000000000001,0.8255768529469576,1.0,0,0.8258622712324967,0.08285354836169452,0.00026396686646182137,0.12,0.0,0.0,0,0.4723649659179595,0.5333333333333333,1.24,3,2.24,0.808547315107337,3,5,[],284,0,[],[],[],0,target_displacement,target-displacement.v2,0.0,1,0,0,-1,0.0,-0.6720581309494901,-0.7404983920473278,0.0,0.0,0.0,0.0,,,,-1,0,-1,0,-1,0,-1,-1,0.0,temporal
