level_cm,ensemble_mode,failure_category,count,rate_over_all_episodes
0,temporal,insufficient_push_distance,1,0.008333333333333333
0,temporal,recovery_limit,2,0.016666666666666666
0,latest-only,insufficient_push_distance,1,0.008333333333333333
0,latest-only,recovery_limit,2,0.016666666666666666
1,temporal,insufficient_push_distance,1,0.008333333333333333
1,temporal,recovery_limit,1,0.008333333333333333
1,latest-only,insufficient_push_distance,1,0.008333333333333333
1,latest-only,recovery_limit,1,0.008333333333333333
2,temporal,insufficient_push_distance,2,0.016666666666666666
2,temporal,recovery_limit,1,0.008333333333333333
2,latest-only,insufficient_push_distance,4,0.03333333333333333
2,latest-only,recovery_limit,1,0.008333333333333333
3,temporal,insufficient_push_distance,5,0.041666666666666664
3,temporal,lateral_push_error,1,0.008333333333333333
3,temporal,recovery_limit,1,0.008333333333333333
3,latest-only,gripper_never_closed,1,0.008333333333333333
3,latest-only,insufficient_push_distance,7,0.058333333333333334
3,latest-only,recovery_limit,1,0.008333333333333333
4,temporal,insufficient_push_distance,7,0.058333333333333334
4,temporal,recovery_limit,1,0.008333333333333333
4,temporal,target_not_contacted,1,0.008333333333333333
4,temporal,wrong_object_contact,2,0.016666666666666666
4,latest-only,grasp_failed_after_contact,1,0.008333333333333333
4,latest-only,insufficient_lift,1,0.008333333333333333
4,latest-only,insufficient_push_distance,7,0.058333333333333334
4,latest-only,recovery_limit,1,0.008333333333333333
4,latest-only,target_not_contacted,1,0.008333333333333333
4,latest-only,wrong_object_contact,1,0.008333333333333333
5,temporal,gripper_never_closed,1,0.008333333333333333
5,temporal,insufficient_lift,1,0.008333333333333333
5,temporal,insufficient_push_distance,6,0.05
5,temporal,recovery_limit,4,0.03333333333333333
5,temporal,target_not_contacted,2,0.016666666666666666
5,temporal,wrong_object_contact,1,0.008333333333333333
5,latest-only,gripper_never_closed,1,0.008333333333333333
5,latest-only,insufficient_lift,1,0.008333333333333333
5,latest-only,insufficient_push_distance,6,0.05
5,latest-only,recovery_limit,5,0.041666666666666664
5,latest-only,target_not_contacted,1,0.008333333333333333
5,latest-only,wrong_object_contact,1,0.008333333333333333
6,temporal,grasp_failed_after_contact,1,0.008333333333333333
6,temporal,insufficient_lift,1,0.008333333333333333
6,temporal,insufficient_push_distance,7,0.058333333333333334
6,temporal,lateral_push_error,1,0.008333333333333333
6,temporal,recovery_limit,6,0.05
6,temporal,target_not_contacted,3,0.025
6,temporal,wrong_object_contact,1,0.008333333333333333
6,latest-only,grasp_failed_after_contact,1,0.008333333333333333
6,latest-only,gripper_never_closed,1,0.008333333333333333
6,latest-only,insufficient_lift,1,0.008333333333333333
6,latest-only,insufficient_push_distance,9,0.075
6,latest-only,recovery_limit,1,0.008333333333333333
6,latest-only,target_not_contacted,4,0.03333333333333333
7,temporal,gripper_never_closed,4,0.03333333333333333
7,temporal,insufficient_lift,2,0.016666666666666666
7,temporal,insufficient_push_distance,9,0.075
7,temporal,recovery_limit,6,0.05
7,temporal,target_not_contacted,3,0.025
7,latest-only,gripper_never_closed,3,0.025
7,latest-only,insufficient_lift,2,0.016666666666666666
7,latest-only,insufficient_push_distance,7,0.058333333333333334
7,latest-only,recovery_limit,6,0.05
7,latest-only,target_not_contacted,4,0.03333333333333333
7,latest-only,wrong_object_contact,1,0.008333333333333333
8,temporal,gripper_never_closed,5,0.041666666666666664
8,temporal,insufficient_lift,2,0.016666666666666666
8,temporal,insufficient_push_distance,14,0.11666666666666667
8,temporal,recovery_limit,6,0.05
8,temporal,target_not_contacted,3,0.025
8,latest-only,grasp_failed_after_contact,1,0.008333333333333333
8,latest-only,gripper_never_closed,5,0.041666666666666664
8,latest-only,insufficient_lift,2,0.016666666666666666
8,latest-only,insufficient_push_distance,15,0.125
8,latest-only,recovery_limit,6,0.05
8,latest-only,target_not_contacted,5,0.041666666666666664
