level_cm,ensemble_mode,episodes,successes,task_success_rate,ci95_lower,ci95_upper,clean_success_rate,strict_target_contact_rate,wrong_object_contact_rate,mean_steps,mean_grounding_error_after_injection_cm,reacquisition_rate_0_5cm,mean_successful_reacquisition_latency_steps_0_5cm
0,temporal,120,117,0.975,0.9290699666721339,0.9914618252300978,0.975,0.9916666666666667,0,86.46666666666667,,,
0,latest-only,120,117,0.975,0.9290699666721339,0.9914618252300978,0.975,1,0,86.55833333333334,,,
1,temporal,120,118,0.9833333333333333,0.941264037027841,0.9954174354340789,0.9833333333333333,0.9916666666666667,0,88.86666666666666,0.6462714657117344,0.9833333333333333,12.228813559322035
1,latest-only,120,118,0.9833333333333333,0.941264037027841,0.9954174354340789,0.9833333333333333,0.9833333333333333,0,87.74166666666666,0.6524652446926372,0.9666666666666667,11.232758620689655
2,temporal,120,117,0.975,0.9290699666721339,0.9914618252300978,0.975,1,0,92.25833333333334,0.6886724074691963,0.9583333333333334,13.843478260869565
2,latest-only,120,115,0.9583333333333334,0.9061591476629647,0.9820732831198906,0.9583333333333334,0.9916666666666667,0,92.85833333333333,0.690894801393397,0.9666666666666667,12.913793103448276
3,temporal,120,113,0.9416666666666667,0.8844740796636988,0.9714589899997798,0.9416666666666667,0.9916666666666667,0,99.65,0.7291346332121859,0.9333333333333333,15.446428571428571
3,latest-only,120,111,0.925,0.8635908239400624,0.9600428846040397,0.9166666666666666,0.9916666666666667,0,100.225,0.7356549094687737,0.9166666666666666,14.49090909090909
4,temporal,120,109,0.9083333333333333,0.843291530273291,0.9480428171514347,0.9,0.9916666666666667,0.016666666666666666,112.19166666666666,0.7402344492846331,0.9083333333333333,13.779816513761467
4,latest-only,120,108,0.9,0.833318258891048,0.9418664079739892,0.8916666666666667,0.9916666666666667,0.008333333333333333,110.225,0.7243714376965934,0.8916666666666667,13.878504672897197
5,temporal,120,105,0.875,0.8039705979199262,0.9227650272660463,0.875,0.975,0.008333333333333333,123.28333333333333,0.8283137690719439,0.8666666666666667,19.60576923076923
5,latest-only,120,105,0.875,0.8039705979199262,0.9227650272660463,0.875,0.9916666666666667,0.008333333333333333,123.125,0.8247047699904967,0.8416666666666667,15.950495049504951
6,temporal,120,100,0.8333333333333334,0.7565471860673773,0.8894400363201539,0.8333333333333334,0.975,0.008333333333333333,132.34166666666667,0.9890934611999062,0.8166666666666667,18.26530612244898
6,latest-only,120,103,0.8583333333333333,0.7848050551014282,0.9096312089651676,0.8583333333333333,0.9583333333333334,0,132.75833333333333,0.9708996257776378,0.8166666666666667,16.551020408163264
7,temporal,120,96,0.8,0.7196332649371805,0.8617552352115975,0.775,0.9583333333333334,0,144.66666666666666,1.1453381978769668,0.825,20.08080808080808
7,latest-only,120,97,0.8083333333333333,0.7287884399579756,0.8687497407504907,0.8,0.9666666666666667,0.008333333333333333,147.36666666666667,1.1385108002674162,0.8083333333333333,21.61855670103093
8,temporal,120,90,0.75,0.665588633358744,0.8189017834319043,0.7416666666666667,0.9583333333333334,0,155.65833333333333,1.3477390106395941,0.7666666666666667,27.097826086956523
8,latest-only,120,86,0.7166666666666667,0.6302979754694596,0.7895937190824355,0.7,0.95,0,158.0,1.354975720666501,0.7666666666666667,30.934782608695652
