level_cm,ensemble_mode,task,episodes,successes,task_success_rate,ci95_lower,ci95_upper
0,temporal,pick_A,20,20,1.0,0.8388748419471806,1.0
0,temporal,pick_B,20,20,1.0,0.8388748419471806,1.0
0,temporal,pick_C,20,20,1.0,0.8388748419471806,1.0
0,temporal,push_A,20,20,1.0,0.8388748419471806,1.0
0,temporal,push_B,20,17,0.85,0.6395811352592431,0.9476312541037835
0,temporal,push_C,20,20,1.0,0.8388748419471806,1.0
0,latest-only,pick_A,20,20,1.0,0.8388748419471806,1.0
0,latest-only,pick_B,20,20,1.0,0.8388748419471806,1.0
0,latest-only,pick_C,20,20,1.0,0.8388748419471806,1.0
0,latest-only,push_A,20,20,1.0,0.8388748419471806,1.0
0,latest-only,push_B,20,17,0.85,0.6395811352592431,0.9476312541037835
0,latest-only,push_C,20,20,1.0,0.8388748419471806,1.0
1,temporal,pick_A,20,20,1.0,0.8388748419471806,1.0
1,temporal,pick_B,20,20,1.0,0.8388748419471806,1.0
1,temporal,pick_C,20,20,1.0,0.8388748419471806,1.0
1,temporal,push_A,20,20,1.0,0.8388748419471806,1.0
1,temporal,push_B,20,18,0.9,0.6989663547715128,0.9721335187862319
1,temporal,push_C,20,20,1.0,0.8388748419471806,1.0
1,latest-only,pick_A,20,20,1.0,0.8388748419471806,1.0
1,latest-only,pick_B,20,20,1.0,0.8388748419471806,1.0
1,latest-only,pick_C,20,20,1.0,0.8388748419471806,1.0
1,latest-only,push_A,20,20,1.0,0.8388748419471806,1.0
1,latest-only,push_B,20,18,0.9,0.6989663547715128,0.9721335187862319
1,latest-only,push_C,20,20,1.0,0.8388748419471806,1.0
2,temporal,pick_A,20,20,1.0,0.8388748419471806,1.0
2,temporal,pick_B,20,20,1.0,0.8388748419471806,1.0
2,temporal,pick_C,20,19,0.95,0.763868806553258,0.9911185511992047
2,temporal,push_A,20,20,1.0,0.8388748419471806,1.0
2,temporal,push_B,20,18,0.9,0.6989663547715128,0.9721335187862319
2,temporal,push_C,20,20,1.0,0.8388748419471806,1.0
2,latest-only,pick_A,20,20,1.0,0.8388748419471806,1.0
2,latest-only,pick_B,20,20,1.0,0.8388748419471806,1.0
2,latest-only,pick_C,20,20,1.0,0.8388748419471806,1.0
2,latest-only,push_A,20,20,1.0,0.8388748419471806,1.0
2,latest-only,push_B,20,17,0.85,0.6395811352592431,0.9476312541037835
2,latest-only,push_C,20,18,0.9,0.6989663547715128,0.9721335187862319
3,temporal,pick_A,20,20,1.0,0.8388748419471806,1.0
3,temporal,pick_B,20,20,1.0,0.8388748419471806,1.0
3,temporal,pick_C,20,20,1.0,0.8388748419471806,1.0
3,temporal,push_A,20,19,0.95,0.763868806553258,0.9911185511992047
3,temporal,push_B,20,15,0.75,0.531299122381256,0.8881382985923343
3,temporal,push_C,20,19,0.95,0.763868806553258,0.9911185511992047
3,latest-only,pick_A,20,20,1.0,0.8388748419471806,1.0
3,latest-only,pick_B,20,20,1.0,0.8388748419471806,1.0
3,latest-only,pick_C,20,19,0.95,0.763868806553258,0.9911185511992047
3,latest-only,push_A,20,19,0.95,0.763868806553258,0.9911185511992047
3,latest-only,push_B,20,15,0.75,0.531299122381256,0.8881382985923343
3,latest-only,push_C,20,18,0.9,0.6989663547715128,0.9721335187862319
4,temporal,pick_A,20,20,1.0,0.8388748419471806,1.0
4,temporal,pick_B,20,19,0.95,0.763868806553258,0.9911185511992047
4,temporal,pick_C,20,19,0.95,0.763868806553258,0.9911185511992047
4,temporal,push_A,20,19,0.95,0.763868806553258,0.9911185511992047
4,temporal,push_B,20,14,0.7,0.4810271816464765,0.8545227551323956
4,temporal,push_C,20,18,0.9,0.6989663547715128,0.9721335187862319
4,latest-only,pick_A,20,18,0.9,0.6989663547715128,0.9721335187862319
4,latest-only,pick_B,20,19,0.95,0.763868806553258,0.9911185511992047
4,latest-only,pick_C,20,19,0.95,0.763868806553258,0.9911185511992047
4,latest-only,push_A,20,20,1.0,0.8388748419471806,1.0
4,latest-only,push_B,20,14,0.7,0.4810271816464765,0.8545227551323956
4,latest-only,push_C,20,18,0.9,0.6989663547715128,0.9721335187862319
5,temporal,pick_A,20,18,0.9,0.6989663547715128,0.9721335187862319
5,temporal,pick_B,20,20,1.0,0.8388748419471806,1.0
5,temporal,pick_C,20,18,0.9,0.6989663547715128,0.9721335187862319
5,temporal,push_A,20,18,0.9,0.6989663547715128,0.9721335187862319
5,temporal,push_B,20,14,0.7,0.4810271816464765,0.8545227551323956
5,temporal,push_C,20,17,0.85,0.6395811352592431,0.9476312541037835
5,latest-only,pick_A,20,18,0.9,0.6989663547715128,0.9721335187862319
5,latest-only,pick_B,20,20,1.0,0.8388748419471806,1.0
5,latest-only,pick_C,20,19,0.95,0.763868806553258,0.9911185511992047
5,latest-only,push_A,20,18,0.9,0.6989663547715128,0.9721335187862319
5,latest-only,push_B,20,14,0.7,0.4810271816464765,0.8545227551323956
5,latest-only,push_C,20,16,0.8,0.5839825677481064,0.919342337420202
6,temporal,pick_A,20,17,0.85,0.6395811352592431,0.9476312541037835
6,temporal,pick_B,20,20,1.0,0.8388748419471806,1.0
6,temporal,pick_C,20,18,0.9,0.6989663547715128,0.9721335187862319
6,temporal,push_A,20,16,0.8,0.5839825677481064,0.919342337420202
6,temporal,push_B,20,14,0.7,0.4810271816464765,0.8545227551323956
6,temporal,push_C,20,15,0.75,0.531299122381256,0.8881382985923343
6,latest-only,pick_A,20,18,0.9,0.6989663547715128,0.9721335187862319
6,latest-only,pick_B,20,20,1.0,0.8388748419471806,1.0
6,latest-only,pick_C,20,19,0.95,0.763868806553258,0.9911185511992047
6,latest-only,push_A,20,17,0.85,0.6395811352592431,0.9476312541037835
6,latest-only,push_B,20,14,0.7,0.4810271816464765,0.8545227551323956
6,latest-only,push_C,20,15,0.75,0.531299122381256,0.8881382985923343
