model,ensemble_mode,level_cm,episodes,injected_episodes,injection_rate,successes,task_success_rate,ci95_lower,ci95_upper,clean_success_rate,target_contact_rate,wrong_object_contact_rate,mean_steps,mean_action_clip_rate,mean_safety_intervention_rate,mean_grounding_shift_resets,mean_grounding_error_after_injection_cm,reacquisition_rate_0_5cm,mean_successful_reacquisition_latency_s_0_5cm
v2,temporal,0,120,0,0.0,109,0.9083333333333333,0.843291530273291,0.9480428171514347,0.8916666666666667,0.975,0.008333333333333333,96.66666666666667,0.060598232229780696,0.05376618703538984,4.741666666666666,,,
v2,temporal,1,120,120,1.0,109,0.9083333333333333,0.843291530273291,0.9480428171514347,0.8916666666666667,0.9916666666666667,0.008333333333333333,100.65833333333333,0.06068515374046086,0.052693332134938035,5.841666666666667,0.7839132432035594,0.875,0.5647619047619048
v2,temporal,2,120,120,1.0,104,0.8666666666666667,0.7943520342531574,0.916233910373127,0.8583333333333333,1,0.03333333333333333,107.98333333333333,0.056659528353150565,0.048754029028506646,7.583333333333333,0.8485877139595039,0.8666666666666667,0.6485576923076923
v2,temporal,3,120,120,1.0,69,0.575,0.4855775172299302,0.6597696078072643,0.575,0.9833333333333333,0.10833333333333334,142.85,0.046375809247461916,0.047899068418624235,13.816666666666666,0.930037327510181,0.8166666666666667,0.7321428571428571
v2,temporal,4,120,120,1.0,48,0.4,0.31676408120837146,0.4894397520753693,0.39166666666666666,0.9833333333333333,0.09166666666666666,169.0,0.03988409157024144,0.043065271896354465,15.333333333333334,0.9806696752697514,0.7916666666666666,0.8631578947368421
v2,temporal,5,120,120,1.0,33,0.275,0.20302896661264852,0.3609296582757681,0.275,0.9583333333333334,0.1,180.40833333333333,0.03597427992258388,0.04778006784290848,14.908333333333333,1.1721335947085336,0.7,1.1196428571428572
v2,temporal,6,120,120,1.0,26,0.21666666666666667,0.15236723564151497,0.29854362532908374,0.19166666666666668,0.8666666666666667,0.08333333333333333,188.51666666666668,0.03145278284684805,0.052787970674448584,16.183333333333334,1.3674078440632824,0.625,1.1553333333333333
v2,temporal,7,120,120,1.0,24,0.2,0.13824476478840256,0.2803667350628196,0.2,0.7666666666666667,0.1,187.66666666666666,0.031091033709725106,0.06156698446174993,17.091666666666665,1.627926072689994,0.6,1.2506944444444446
v2,temporal,8,120,120,1.0,20,0.16666666666666666,0.11055996367984616,0.24345281393262286,0.15833333333333333,0.725,0.11666666666666667,188.73333333333332,0.029333709985755824,0.06259349467108367,16.625,1.9354277924015575,0.55,2.0863636363636364
v2,latest-only,0,120,0,0.0,109,0.9083333333333333,0.843291530273291,0.9480428171514347,0.9,0.975,0.008333333333333333,99.66666666666667,0.058790584766606466,0.047939283143521964,4.908333333333333,,,
v2,latest-only,1,120,119,0.9916666666666667,107,0.8916666666666667,0.8234463978470834,0.9355885884582658,0.8833333333333333,0.9916666666666667,0.008333333333333333,102.16666666666667,0.05733628219525153,0.04259971070850807,5.708333333333333,0.7833367108376358,0.8907563025210085,0.555188679245283
v2,latest-only,2,120,119,0.9916666666666667,98,0.8166666666666667,0.7379908648282967,0.8756969964398578,0.8,0.9833333333333333,0.03333333333333333,114.78333333333333,0.05426269535742987,0.05369270491238114,8.575,0.8576002608438235,0.8571428571428571,0.6205882352941177
v2,latest-only,3,120,119,0.9916666666666667,73,0.6083333333333333,0.5189378169992731,0.6910080302766743,0.6083333333333333,0.975,0.075,142.66666666666666,0.04716492857547675,0.04143080059375248,12.966666666666667,0.9190575418427296,0.8067226890756303,0.7682291666666667
v2,latest-only,4,120,119,0.9916666666666667,52,0.43333333333333335,0.34810176437788437,0.5227007911446095,0.425,0.975,0.1,166.6,0.03955135605929284,0.04096237727572629,14.541666666666666,0.9799635920727895,0.7983193277310925,1.0926315789473684
v2,latest-only,5,120,119,0.9916666666666667,35,0.2916666666666667,0.2178156362103854,0.3784423497974078,0.2833333333333333,0.9333333333333333,0.125,180.84166666666667,0.03470893851677262,0.05459098065308171,15.733333333333333,1.1899475360809983,0.7058823529411765,1.0505952380952381
v2,latest-only,6,120,119,0.9916666666666667,26,0.21666666666666667,0.15236723564151497,0.29854362532908374,0.2,0.8416666666666667,0.125,189.6,0.03149389393092796,0.0564872447400623,14.4,1.3740853885417903,0.6554621848739496,1.396153846153846
