benchmark_seed,perturbation_seed,level_cm,ensemble_mode,episode,scene_seed,task,instruction,v2_injected,v3_injected,v2_success,v3_success,v2_failure,v3_failure
20260801,20260802,0,temporal,1,1485225831,push_B,Push the blue ball away from the robot,0,0,0,0,insufficient_push_distance,recovery_limit
20260801,20260802,0,temporal,2,423671072,push_C,Push the green cylinder away from the robot,0,0,1,1,success,success
20260801,20260802,0,temporal,3,375455843,push_C,Push the green cylinder away from the robot,0,0,1,1,success,success
20260801,20260802,0,temporal,4,553518490,push_C,Push the green cylinder away from the robot,0,0,1,1,task_success_only,success
20260801,20260802,0,temporal,5,1506469058,pick_B,Pick up the blue ball,0,0,1,1,success,success
20260801,20260802,0,temporal,6,2061678707,push_C,Push the green cylinder away from the robot,0,0,1,1,success,success
20260801,20260802,0,temporal,7,1419313632,pick_B,Pick up the blue ball,0,0,1,1,success,success
20260801,20260802,0,temporal,8,1070560489,push_B,Push the blue ball away from the robot,0,0,1,1,success,success
20260801,20260802,0,temporal,9,1348464606,push_B,Push the blue ball away from the robot,0,0,0,0,target_not_contacted,insufficient_push_distance
20260801,20260802,0,temporal,10,1982507234,push_B,Push the blue ball away from the robot,0,0,1,1,success,success
20260801,20260802,0,temporal,11,1679153557,pick_A,Pick up the red cube,0,0,1,1,success,success
20260801,20260802,0,temporal,12,1255196262,push_A,Push the red cube away from the robot,0,0,1,1,success,success
20260801,20260802,0,temporal,13,1431197586,pick_B,Pick up the blue ball,0,0,1,1,success,success
20260801,20260802,0,temporal,14,2134975730,pick_B,Pick up the blue ball,0,0,1,1,success,success
20260801,20260802,0,temporal,15,751649339,pick_B,Pick up the blue ball,0,0,1,1,success,success
20260801,20260802,0,temporal,16,937821226,push_B,Push the blue ball away from the robot,0,0,1,1,success,success
20260801,20260802,0,temporal,17,340795577,pick_B,Pick up the blue ball,0,0,1,1,success,success
20260801,20260802,0,temporal,18,1519111428,pick_C,Pick up the green cylinder,0,0,1,1,success,success
20260801,20260802,0,temporal,19,205738177,pick_A,Pick up the red cube,0,0,1,1,success,success
20260801,20260802,0,temporal,20,1200166337,push_A,Push the red cube away from the robot,0,0,1,1,success,success
20260801,20260802,0,temporal,21,1240704403,pick_B,Pick up the blue ball,0,0,1,1,success,success
20260801,20260802,0,temporal,22,988635068,pick_A,Pick up the red cube,0,0,1,1,success,success
20260801,20260802,0,temporal,23,711297445,pick_C,Pick up the green cylinder,0,0,1,1,success,success
