ensemble_mode,level_cm,paired_episodes,v2_success_rate,v3_success_rate,v3_gain_percentage_points,gain_ci95_lower_percentage_points,gain_ci95_upper_percentage_points,v3_only_successes,v2_only_successes,both_success,both_fail,exact_mcnemar_p,holm_adjusted_p_across_levels
temporal,0,120,0.9083333333333333,0.975,6.666666666666665,2.500000000000002,11.666666666666659,8,0,109,3,0.0078125,0.0078125
temporal,1,120,0.9083333333333333,0.9833333333333333,7.499999999999996,3.3333333333333326,12.5,9,0,109,2,0.00390625,0.0078125
temporal,2,120,0.8666666666666667,0.975,10.833333333333329,5.000000000000004,16.666666666666675,14,1,103,2,0.0009765625,0.0029296875
temporal,3,120,0.575,0.9416666666666667,36.66666666666667,27.500000000000004,45.83333333333333,46,2,67,5,8.363087999896379e-12,3.3452351999585517e-11
temporal,4,120,0.4,0.9083333333333333,50.83333333333333,40.833333333333336,60.83333333333333,64,3,45,8,6.801200228001569e-16,3.4006001140007847e-15
temporal,5,120,0.275,0.875,60.0,50.83333333333333,69.16666666666667,74,2,31,13,7.747704489416678e-20,6.198163591533343e-19
temporal,6,120,0.21666666666666667,0.8333333333333334,61.66666666666667,52.49999999999999,70.83333333333334,76,2,24,18,2.039496518310745e-20,1.8355468664796705e-19
temporal,7,120,0.2,0.8,60.00000000000001,50.0,69.16666666666667,75,3,21,21,5.238237034277805e-19,3.666765923994464e-18
temporal,8,120,0.16666666666666666,0.75,58.333333333333336,48.33333333333333,68.33333333333333,75,5,15,25,4.252865905071769e-17,2.5517195430430614e-16
latest-only,0,120,0.9083333333333333,0.975,6.666666666666665,2.500000000000002,11.66666666666667,8,0,109,3,0.0078125,0.0078125
latest-only,1,120,0.8916666666666667,0.9833333333333333,9.166666666666657,4.1666666666666625,14.999999999999991,11,0,107,2,0.0009765625,0.001953125
latest-only,2,120,0.8166666666666667,0.9583333333333334,14.166666666666671,7.500000000000007,20.833333333333336,18,1,97,4,7.62939453125e-05,0.0002288818359375
latest-only,3,120,0.6083333333333333,0.925,31.666666666666675,22.500000000000007,40.833333333333336,40,2,71,7,4.1109160520136356e-10,1.6443664208054543e-09
latest-only,4,120,0.43333333333333335,0.9,46.666666666666664,37.5,55.833333333333336,58,2,50,10,3.1762786845135338e-15,1.9057672107081203e-14
latest-only,5,120,0.2916666666666667,0.875,58.33333333333333,49.166666666666664,67.5,71,1,34,14,3.091670257478196e-20,2.1641691802347374e-19
latest-only,6,120,0.21666666666666667,0.8583333333333333,64.16666666666666,55.833333333333336,72.50000000000001,77,0,26,17,1.3234889800848443e-23,1.1911400820763599e-22
latest-only,7,120,0.20833333333333334,0.8083333333333333,60.0,50.83333333333333,69.16666666666667,73,1,24,22,7.940933880509066e-21,6.352747104407253e-20
latest-only,8,120,0.2,0.7166666666666667,51.66666666666666,40.83333333333333,62.5,70,8,16,26,1.7449045276511964e-13,8.724522638255982e-13
