chunk_size,ensemble_mode,level_cm,failure_category,count,rate_over_all_episodes
1,temporal,0,insufficient_push_distance,3,0.025
1,temporal,0,lateral_push_error,1,0.008333333333333333
1,temporal,4,gripper_never_closed,3,0.025
1,temporal,4,insufficient_push_distance,8,0.06666666666666667
1,temporal,4,lateral_push_error,1,0.008333333333333333
1,temporal,4,recovery_limit,5,0.041666666666666664
1,temporal,4,wrong_object_contact,1,0.008333333333333333
1,latest-only,0,insufficient_push_distance,3,0.025
1,latest-only,0,lateral_push_error,1,0.008333333333333333
1,latest-only,4,gripper_never_closed,3,0.025
1,latest-only,4,insufficient_push_distance,8,0.06666666666666667
1,latest-only,4,lateral_push_error,1,0.008333333333333333
1,latest-only,4,recovery_limit,5,0.041666666666666664
1,latest-only,4,wrong_object_contact,1,0.008333333333333333
5,temporal,0,insufficient_push_distance,1,0.008333333333333333
5,temporal,0,lateral_push_error,1,0.008333333333333333
5,temporal,0,wrong_object_contact,1,0.008333333333333333
5,temporal,4,gripper_never_closed,4,0.03333333333333333
5,temporal,4,insufficient_push_distance,4,0.03333333333333333
5,temporal,4,recovery_limit,5,0.041666666666666664
5,latest-only,0,insufficient_push_distance,3,0.025
5,latest-only,0,lateral_push_error,1,0.008333333333333333
5,latest-only,0,wrong_object_contact,1,0.008333333333333333
5,latest-only,4,grasp_failed_after_contact,1,0.008333333333333333
5,latest-only,4,insufficient_push_distance,5,0.041666666666666664
5,latest-only,4,lateral_push_error,1,0.008333333333333333
5,latest-only,4,recovery_limit,7,0.058333333333333334
10,temporal,0,insufficient_push_distance,1,0.008333333333333333
10,temporal,0,lateral_push_error,1,0.008333333333333333
10,temporal,4,gripper_never_closed,1,0.008333333333333333
10,temporal,4,insufficient_push_distance,3,0.025
10,temporal,4,recovery_limit,2,0.016666666666666666
10,latest-only,0,lateral_push_error,1,0.008333333333333333
10,latest-only,4,grasp_failed_after_contact,1,0.008333333333333333
10,latest-only,4,insufficient_push_distance,3,0.025
10,latest-only,4,recovery_limit,5,0.041666666666666664
20,temporal,0,lateral_push_error,1,0.008333333333333333
20,temporal,4,grasp_failed_after_contact,1,0.008333333333333333
20,temporal,4,gripper_never_closed,2,0.016666666666666666
20,temporal,4,insufficient_push_distance,2,0.016666666666666666
20,temporal,4,recovery_limit,6,0.05
20,latest-only,0,insufficient_push_distance,2,0.016666666666666666
20,latest-only,0,lateral_push_error,1,0.008333333333333333
20,latest-only,4,gripper_never_closed,1,0.008333333333333333
20,latest-only,4,insufficient_push_distance,5,0.041666666666666664
20,latest-only,4,recovery_limit,1,0.008333333333333333
