ensemble_mode,level_cm,chunk_size,reference_chunk,paired_episodes,candidate_success_rate,reference_success_rate,difference_percentage_points,difference_ci95_lower_percentage_points,difference_ci95_upper_percentage_points,candidate_only_successes,reference_only_successes,exact_mcnemar_p,holm_adjusted_p
temporal,0,1,20,120,0.9666666666666667,0.9916666666666667,-2.500000000000002,-5.833333333333335,0.0,0,3,0.25,0.75
temporal,0,5,20,120,0.975,0.9916666666666667,-1.6666666666666718,-4.166666666666674,0.0,0,2,0.5,1.0
temporal,0,10,20,120,0.9833333333333333,0.9916666666666667,-0.8333333333333415,-2.500000000000002,0.0,0,1,1.0,1.0
temporal,4,1,20,120,0.85,0.9083333333333333,-5.833333333333335,-13.33333333333333,1.6666666666666718,7,14,0.18924713134765625,0.5390625
temporal,4,5,20,120,0.8916666666666667,0.9083333333333333,-1.6666666666666607,-7.499999999999996,4.1666666666666625,5,7,0.7744140625,0.7744140625
temporal,4,10,20,120,0.95,0.9083333333333333,4.1666666666666625,-0.8333333333333304,9.166666666666668,7,2,0.1796875,0.5390625
latest-only,0,1,20,120,0.9666666666666667,0.975,-0.8333333333333304,-4.1666666666666625,1.6666666666666718,1,2,1.0,1.0
latest-only,0,5,20,120,0.9583333333333334,0.975,-1.6666666666666607,-5.000000000000004,1.6666666666666607,1,3,0.625,1.0
latest-only,0,10,20,120,0.9916666666666667,0.975,1.6666666666666718,0.0,4.166666666666674,2,0,0.5,1.0
latest-only,4,1,20,120,0.85,0.9416666666666667,-9.166666666666668,-15.000000000000002,-4.1666666666666625,1,12,0.00341796875,0.01025390625
latest-only,4,5,20,120,0.8833333333333333,0.9416666666666667,-5.833333333333335,-11.666666666666659,-0.8333333333333304,2,9,0.0654296875,0.130859375
latest-only,4,10,20,120,0.925,0.9416666666666667,-1.6666666666666607,-5.000000000000004,1.6666666666666607,1,3,0.625,0.625
