chunk_size,ensemble_mode,level_cm,task,episodes,successes,success_rate
1,temporal,0,pick_A,20,20,1.0
1,temporal,0,pick_B,20,20,1.0
1,temporal,0,pick_C,20,20,1.0
1,temporal,0,push_A,20,19,0.95
1,temporal,0,push_B,20,18,0.9
1,temporal,0,push_C,20,19,0.95
1,temporal,4,pick_A,20,17,0.85
1,temporal,4,pick_B,20,20,1.0
1,temporal,4,pick_C,20,16,0.8
1,temporal,4,push_A,20,18,0.9
1,temporal,4,push_B,20,15,0.75
1,temporal,4,push_C,20,16,0.8
1,latest-only,0,pick_A,20,20,1.0
1,latest-only,0,pick_B,20,20,1.0
1,latest-only,0,pick_C,20,20,1.0
1,latest-only,0,push_A,20,19,0.95
1,latest-only,0,push_B,20,18,0.9
1,latest-only,0,push_C,20,19,0.95
1,latest-only,4,pick_A,20,17,0.85
1,latest-only,4,pick_B,20,20,1.0
1,latest-only,4,pick_C,20,16,0.8
1,latest-only,4,push_A,20,18,0.9
1,latest-only,4,push_B,20,15,0.75
1,latest-only,4,push_C,20,16,0.8
5,temporal,0,pick_A,20,20,1.0
5,temporal,0,pick_B,20,20,1.0
5,temporal,0,pick_C,20,20,1.0
5,temporal,0,push_A,20,20,1.0
5,temporal,0,push_B,20,19,0.95
5,temporal,0,push_C,20,18,0.9
5,temporal,4,pick_A,20,18,0.9
5,temporal,4,pick_B,20,20,1.0
5,temporal,4,pick_C,20,16,0.8
5,temporal,4,push_A,20,20,1.0
5,temporal,4,push_B,20,14,0.7
5,temporal,4,push_C,20,19,0.95
5,latest-only,0,pick_A,20,20,1.0
5,latest-only,0,pick_B,20,20,1.0
5,latest-only,0,pick_C,20,20,1.0
5,latest-only,0,push_A,20,20,1.0
5,latest-only,0,push_B,20,17,0.85
5,latest-only,0,push_C,20,18,0.9
5,latest-only,4,pick_A,20,16,0.8
5,latest-only,4,pick_B,20,20,1.0
5,latest-only,4,pick_C,20,19,0.95
5,latest-only,4,push_A,20,18,0.9
5,latest-only,4,push_B,20,14,0.7
5,latest-only,4,push_C,20,19,0.95
10,temporal,0,pick_A,20,20,1.0
10,temporal,0,pick_B,20,20,1.0
10,temporal,0,pick_C,20,20,1.0
10,temporal,0,push_A,20,20,1.0
10,temporal,0,push_B,20,19,0.95
10,temporal,0,push_C,20,19,0.95
10,temporal,4,pick_A,20,19,0.95
10,temporal,4,pick_B,20,20,1.0
10,temporal,4,pick_C,20,20,1.0
10,temporal,4,push_A,20,19,0.95
10,temporal,4,push_B,20,17,0.85
10,temporal,4,push_C,20,19,0.95
10,latest-only,0,pick_A,20,20,1.0
10,latest-only,0,pick_B,20,20,1.0
10,latest-only,0,pick_C,20,20,1.0
10,latest-only,0,push_A,20,20,1.0
10,latest-only,0,push_B,20,20,1.0
10,latest-only,0,push_C,20,19,0.95
10,latest-only,4,pick_A,20,19,0.95
10,latest-only,4,pick_B,20,20,1.0
10,latest-only,4,pick_C,20,18,0.9
10,latest-only,4,push_A,20,19,0.95
10,latest-only,4,push_B,20,17,0.85
10,latest-only,4,push_C,20,18,0.9
20,temporal,0,pick_A,20,20,1.0
20,temporal,0,pick_B,20,20,1.0
20,temporal,0,pick_C,20,20,1.0
20,temporal,0,push_A,20,20,1.0
20,temporal,0,push_B,20,20,1.0
20,temporal,0,push_C,20,19,0.95
20,temporal,4,pick_A,20,17,0.85
20,temporal,4,pick_B,20,18,0.9
20,temporal,4,pick_C,20,18,0.9
20,temporal,4,push_A,20,20,1.0
20,temporal,4,push_B,20,17,0.85
20,temporal,4,push_C,20,19,0.95
20,latest-only,0,pick_A,20,20,1.0
20,latest-only,0,pick_B,20,20,1.0
20,latest-only,0,pick_C,20,20,1.0
20,latest-only,0,push_A,20,20,1.0
20,latest-only,0,push_B,20,18,0.9
20,latest-only,0,push_C,20,19,0.95
20,latest-only,4,pick_A,20,19,0.95
20,latest-only,4,pick_B,20,20,1.0
20,latest-only,4,pick_C,20,19,0.95
20,latest-only,4,push_A,20,19,0.95
20,latest-only,4,push_B,20,18,0.9
20,latest-only,4,push_C,20,18,0.9
