corruption,severity_index,level,episodes,successes,success_rate,ci95_lower,ci95_upper,wrong_object_contact_rate,target_contact_rate,mean_steps,mean_grounding_error_cm,mean_target_class_accuracy,mean_absolute_pixel_delta,mean_input_psnr_db
gaussian-noise,0,0.0,120,116,0.9666666666666667,0.917419662440894,0.9869624489016494,0.0,1.0,88.43333333333334,0.706829476377473,1.0,0.0,
gaussian-noise,1,10.0,120,119,0.9916666666666667,0.9543037087549505,0.998527444266658,0.0,0.9916666666666667,85.54166666666667,0.7336526432483546,1.0,6.8732407551116035,29.267945055486795
gaussian-noise,2,20.0,120,118,0.9833333333333333,0.941264037027841,0.9954174354340789,0.0,0.9916666666666667,86.83333333333333,0.8254663470142393,1.0,12.27060843418963,23.802765573546324
gaussian-noise,3,30.0,120,118,0.9833333333333333,0.941264037027841,0.9954174354340789,0.0,0.9833333333333333,85.78333333333333,0.9568723065074375,1.0,17.32689424417265,20.505008838187457
gaussian-noise,4,40.0,120,117,0.975,0.9290699666721339,0.9914618252300978,0.0,0.9833333333333333,87.95,1.113592198611567,1.0,22.21260108952254,18.151346883759107
gaussian-noise,5,60.0,120,115,0.9583333333333334,0.9061591476629647,0.9820732831198906,0.008333333333333333,0.9833333333333333,90.7,1.5051360632546353,1.0,31.548001288404805,14.868999412577162
gaussian-noise,6,80.0,120,109,0.9083333333333333,0.843291530273291,0.9480428171514347,0.016666666666666666,0.975,97.50833333333334,2.2673295957121042,1.0,40.32126851363626,12.604918161187568
gaussian-noise,7,120.0,120,65,0.5416666666666666,0.4526096906236998,0.6281387121747415,0.075,0.8166666666666667,125.48333333333333,5.989758358010167,1.0,55.935256889619154,9.703168021745471
gaussian-noise,8,160.0,120,44,0.36666666666666664,0.2858293519000576,0.45577575914493,0.25833333333333336,0.6,153.975,10.648224232587985,1.0,68.40178139639698,8.067284040103488
gaussian-blur,0,0.0,120,116,0.9666666666666667,0.917419662440894,0.9869624489016494,0.0,1.0,88.43333333333334,0.706829476377473,1.0,0.0,
gaussian-blur,1,0.75,120,119,0.9916666666666667,0.9543037087549505,0.998527444266658,0.0,1.0,86.74166666666666,0.6925146377318195,1.0,2.355259798520508,30.03839297832054
gaussian-blur,2,1.5,120,119,0.9916666666666667,0.9543037087549505,0.998527444266658,0.0,0.9833333333333333,86.40833333333333,0.7844819537332641,1.0,4.990839138894736,24.958814073640344
gaussian-blur,3,2.25,120,118,0.9833333333333333,0.941264037027841,0.9954174354340789,0.0,0.9833333333333333,88.29166666666667,1.0777509532584246,1.0,7.2422638093713125,22.664430261213496
gaussian-blur,4,3.0,120,114,0.95,0.8951971146376326,0.9768856355855343,0.0,0.9916666666666667,90.59166666666667,2.146323417300416,1.0,9.125977692230402,21.253495093625528
gaussian-blur,5,4.0,120,107,0.8916666666666667,0.8234463978470834,0.9355885884582658,0.016666666666666666,0.975,98.81666666666666,2.2695121194578407,1.0,11.349282651180728,19.9537441275162
gaussian-blur,6,6.0,120,53,0.44166666666666665,0.3559974669953786,0.5309547690868035,0.0,0.825,134.875,5.566085927090346,1.0,15.112085219834482,18.29936649014628
gaussian-blur,7,10.0,120,23,0.19166666666666668,0.13125025924950934,0.27121156004202457,0.075,0.6,165.0,7.9766924287715995,1.0,20.832574545810893,16.61955045374081
brightness,0,1.0,120,116,0.9666666666666667,0.917419662440894,0.9869624489016494,0.0,1.0,88.43333333333334,0.706829476377473,1.0,0.0,
brightness,1,0.8,120,118,0.9833333333333333,0.941264037027841,0.9954174354340789,0.0,0.9916666666666667,88.7,0.7228863532482044,1.0,42.208053004521496,15.154181416306988
brightness,2,0.6,120,119,0.9916666666666667,0.9543037087549505,0.998527444266658,0.0,0.9833333333333333,89.29166666666667,0.8422142735029473,1.0,83.96159567964294,9.175416811607956
brightness,3,0.4,120,116,0.9666666666666667,0.917419662440894,0.9869624489016494,0.016666666666666666,0.9833333333333333,90.23333333333333,1.1307373161169418,1.0,125.7569657282222,5.665682640106648
brightness,4,0.3,120,117,0.975,0.9290699666721339,0.9914618252300978,0.008333333333333333,0.9833333333333333,91.55,1.1973255899680812,1.0,146.63357538847418,4.3301754543383275
brightness,5,0.2,120,117,0.975,0.9290699666721339,0.9914618252300978,0.008333333333333333,0.9916666666666667,93.51666666666667,1.2771494303010824,1.0,167.3192261530368,3.1796065669050466
brightness,6,0.1,120,113,0.9416666666666667,0.8844740796636988,0.9714589899997798,0.008333333333333333,1.0,100.075,1.6132370661432665,1.0,188.31538522975322,2.154493367619001
brightness,7,0.05,120,92,0.7666666666666667,0.683445529241854,0.833344248668171,0.016666666666666666,0.9666666666666667,113.29166666666667,3.2496564181104857,1.0,198.81169969880295,1.683416065067642
brightness,8,0.02,120,25,0.20833333333333334,0.14528439608109694,0.2894767843298135,0.31666666666666665,0.49166666666666664,179.38333333333333,16.17952314309514,1.0,205.80943734042464,1.4099536201482725
brightness,9,0.01,120,2,0.016666666666666666,0.004582564565921141,0.0587359629721589,0.3333333333333333,0.2,197.4,22.717353250500274,1.0,207.94869023792666,1.331802966692743
