corruption,severity_index,level,task,episodes,success_rate
gaussian-noise,0,0.0,pick_A,20,0.95
gaussian-noise,0,0.0,pick_B,20,1.0
gaussian-noise,0,0.0,pick_C,20,1.0
gaussian-noise,0,0.0,push_A,20,1.0
gaussian-noise,0,0.0,push_B,20,0.95
gaussian-noise,0,0.0,push_C,20,0.9
gaussian-noise,1,10.0,pick_A,20,1.0
gaussian-noise,1,10.0,pick_B,20,1.0
gaussian-noise,1,10.0,pick_C,20,1.0
gaussian-noise,1,10.0,push_A,20,1.0
gaussian-noise,1,10.0,push_B,20,1.0
gaussian-noise,1,10.0,push_C,20,0.95
gaussian-noise,2,20.0,pick_A,20,1.0
gaussian-noise,2,20.0,pick_B,20,1.0
gaussian-noise,2,20.0,pick_C,20,1.0
gaussian-noise,2,20.0,push_A,20,1.0
gaussian-noise,2,20.0,push_B,20,0.95
gaussian-noise,2,20.0,push_C,20,0.95
gaussian-noise,3,30.0,pick_A,20,1.0
gaussian-noise,3,30.0,pick_B,20,1.0
gaussian-noise,3,30.0,pick_C,20,1.0
gaussian-noise,3,30.0,push_A,20,1.0
gaussian-noise,3,30.0,push_B,20,0.95
gaussian-noise,3,30.0,push_C,20,0.95
gaussian-noise,4,40.0,pick_A,20,0.95
gaussian-noise,4,40.0,pick_B,20,1.0
gaussian-noise,4,40.0,pick_C,20,1.0
gaussian-noise,4,40.0,push_A,20,1.0
gaussian-noise,4,40.0,push_B,20,0.95
gaussian-noise,4,40.0,push_C,20,0.95
gaussian-noise,5,60.0,pick_A,20,0.95
gaussian-noise,5,60.0,pick_B,20,0.95
gaussian-noise,5,60.0,pick_C,20,0.95
gaussian-noise,5,60.0,push_A,20,0.95
gaussian-noise,5,60.0,push_B,20,1.0
gaussian-noise,5,60.0,push_C,20,0.95
gaussian-noise,6,80.0,pick_A,20,0.95
gaussian-noise,6,80.0,pick_B,20,0.9
gaussian-noise,6,80.0,pick_C,20,0.9
gaussian-noise,6,80.0,push_A,20,0.95
gaussian-noise,6,80.0,push_B,20,0.9
gaussian-noise,6,80.0,push_C,20,0.85
gaussian-noise,7,120.0,pick_A,20,0.5
gaussian-noise,7,120.0,pick_B,20,0.35
gaussian-noise,7,120.0,pick_C,20,0.1
gaussian-noise,7,120.0,push_A,20,1.0
gaussian-noise,7,120.0,push_B,20,0.85
gaussian-noise,7,120.0,push_C,20,0.45
gaussian-noise,8,160.0,pick_A,20,0.2
gaussian-noise,8,160.0,pick_B,20,0.15
gaussian-noise,8,160.0,pick_C,20,0.05
gaussian-noise,8,160.0,push_A,20,0.85
gaussian-noise,8,160.0,push_B,20,0.55
gaussian-noise,8,160.0,push_C,20,0.4
gaussian-blur,0,0.0,pick_A,20,0.95
gaussian-blur,0,0.0,pick_B,20,1.0
gaussian-blur,0,0.0,pick_C,20,1.0
gaussian-blur,0,0.0,push_A,20,1.0
gaussian-blur,0,0.0,push_B,20,0.95
gaussian-blur,0,0.0,push_C,20,0.9
gaussian-blur,1,0.75,pick_A,20,1.0
gaussian-blur,1,0.75,pick_B,20,1.0
gaussian-blur,1,0.75,pick_C,20,1.0
gaussian-blur,1,0.75,push_A,20,1.0
gaussian-blur,1,0.75,push_B,20,1.0
gaussian-blur,1,0.75,push_C,20,0.95
gaussian-blur,2,1.5,pick_A,20,1.0
gaussian-blur,2,1.5,pick_B,20,1.0
gaussian-blur,2,1.5,pick_C,20,1.0
gaussian-blur,2,1.5,push_A,20,1.0
gaussian-blur,2,1.5,push_B,20,1.0
gaussian-blur,2,1.5,push_C,20,0.95
gaussian-blur,3,2.25,pick_A,20,1.0
gaussian-blur,3,2.25,pick_B,20,1.0
gaussian-blur,3,2.25,pick_C,20,1.0
gaussian-blur,3,2.25,push_A,20,1.0
gaussian-blur,3,2.25,push_B,20,0.95
gaussian-blur,3,2.25,push_C,20,0.95
gaussian-blur,4,3.0,pick_A,20,0.95
gaussian-blur,4,3.0,pick_B,20,0.9
gaussian-blur,4,3.0,pick_C,20,0.95
gaussian-blur,4,3.0,push_A,20,1.0
gaussian-blur,4,3.0,push_B,20,0.95
gaussian-blur,4,3.0,push_C,20,0.95
gaussian-blur,5,4.0,pick_A,20,0.85
gaussian-blur,5,4.0,pick_B,20,0.85
gaussian-blur,5,4.0,pick_C,20,0.9
gaussian-blur,5,4.0,push_A,20,1.0
gaussian-blur,5,4.0,push_B,20,0.85
gaussian-blur,5,4.0,push_C,20,0.9
gaussian-blur,6,6.0,pick_A,20,0.1
gaussian-blur,6,6.0,pick_B,20,0.15
gaussian-blur,6,6.0,pick_C,20,0.1
gaussian-blur,6,6.0,push_A,20,0.95
gaussian-blur,6,6.0,push_B,20,0.7
gaussian-blur,6,6.0,push_C,20,0.65
gaussian-blur,7,10.0,pick_A,20,0.0
gaussian-blur,7,10.0,pick_B,20,0.0
gaussian-blur,7,10.0,pick_C,20,0.0
gaussian-blur,7,10.0,push_A,20,0.6
gaussian-blur,7,10.0,push_B,20,0.25
gaussian-blur,7,10.0,push_C,20,0.3
brightness,0,1.0,pick_A,20,0.95
brightness,0,1.0,pick_B,20,1.0
brightness,0,1.0,pick_C,20,1.0
brightness,0,1.0,push_A,20,1.0
brightness,0,1.0,push_B,20,0.95
brightness,0,1.0,push_C,20,0.9
brightness,1,0.8,pick_A,20,0.95
brightness,1,0.8,pick_B,20,1.0
brightness,1,0.8,pick_C,20,1.0
brightness,1,0.8,push_A,20,1.0
brightness,1,0.8,push_B,20,1.0
brightness,1,0.8,push_C,20,0.95
brightness,2,0.6,pick_A,20,1.0
brightness,2,0.6,pick_B,20,1.0
brightness,2,0.6,pick_C,20,1.0
brightness,2,0.6,push_A,20,1.0
brightness,2,0.6,push_B,20,1.0
brightness,2,0.6,push_C,20,0.95
brightness,3,0.4,pick_A,20,0.95
brightness,3,0.4,pick_B,20,1.0
brightness,3,0.4,pick_C,20,1.0
brightness,3,0.4,push_A,20,1.0
brightness,3,0.4,push_B,20,0.95
brightness,3,0.4,push_C,20,0.9
brightness,4,0.3,pick_A,20,0.95
brightness,4,0.3,pick_B,20,1.0
brightness,4,0.3,pick_C,20,1.0
brightness,4,0.3,push_A,20,1.0
brightness,4,0.3,push_B,20,0.95
brightness,4,0.3,push_C,20,0.95
brightness,5,0.2,pick_A,20,0.95
brightness,5,0.2,pick_B,20,1.0
brightness,5,0.2,pick_C,20,1.0
brightness,5,0.2,push_A,20,1.0
brightness,5,0.2,push_B,20,0.95
brightness,5,0.2,push_C,20,0.95
brightness,6,0.1,pick_A,20,0.9
brightness,6,0.1,pick_B,20,0.95
brightness,6,0.1,pick_C,20,1.0
brightness,6,0.1,push_A,20,1.0
brightness,6,0.1,push_B,20,0.85
brightness,6,0.1,push_C,20,0.95
brightness,7,0.05,pick_A,20,0.6
brightness,7,0.05,pick_B,20,0.85
brightness,7,0.05,pick_C,20,0.8
brightness,7,0.05,push_A,20,0.9
brightness,7,0.05,push_B,20,0.65
brightness,7,0.05,push_C,20,0.8
brightness,8,0.02,pick_A,20,0.0
brightness,8,0.02,pick_B,20,0.0
brightness,8,0.02,pick_C,20,0.0
brightness,8,0.02,push_A,20,0.65
brightness,8,0.02,push_B,20,0.4
brightness,8,0.02,push_C,20,0.2
brightness,9,0.01,pick_A,20,0.0
brightness,9,0.01,pick_B,20,0.0
brightness,9,0.01,pick_C,20,0.0
