physics_parameter,level_index,multiplier,failure_category,count,rate_over_all_episodes
target-mass,0,0.25,lateral_push_error,1,0.008333333333333333
target-mass,1,0.5,gripper_never_closed,1,0.008333333333333333
target-mass,1,0.5,lateral_push_error,1,0.008333333333333333
target-mass,2,1.0,gripper_never_closed,1,0.008333333333333333
target-mass,2,1.0,insufficient_push_distance,1,0.008333333333333333
target-mass,2,1.0,lateral_push_error,2,0.016666666666666666
target-mass,3,2.0,gripper_never_closed,1,0.008333333333333333
target-mass,3,2.0,insufficient_push_distance,1,0.008333333333333333
target-mass,3,2.0,lateral_push_error,1,0.008333333333333333
target-mass,3,2.0,recovery_limit,1,0.008333333333333333
target-mass,4,4.0,insufficient_push_distance,1,0.008333333333333333
target-mass,4,4.0,object_left_table,5,0.041666666666666664
target-mass,4,4.0,recovery_limit,4,0.03333333333333333
target-mass,4,4.0,target_not_contacted,1,0.008333333333333333
target-mass,4,4.0,target_not_reached,7,0.058333333333333334
target-mass,4,4.0,wrong_object_contact,23,0.19166666666666668
target-friction,0,0.25,gripper_never_closed,1,0.008333333333333333
target-friction,0,0.25,insufficient_push_distance,1,0.008333333333333333
target-friction,0,0.25,lateral_push_error,2,0.016666666666666666
target-friction,1,0.5,gripper_never_closed,1,0.008333333333333333
target-friction,1,0.5,insufficient_push_distance,1,0.008333333333333333
target-friction,1,0.5,lateral_push_error,2,0.016666666666666666
target-friction,2,1.0,gripper_never_closed,1,0.008333333333333333
target-friction,2,1.0,insufficient_push_distance,1,0.008333333333333333
target-friction,2,1.0,lateral_push_error,2,0.016666666666666666
target-friction,3,2.0,gripper_never_closed,1,0.008333333333333333
target-friction,3,2.0,insufficient_push_distance,27,0.225
target-friction,3,2.0,lateral_push_error,1,0.008333333333333333
target-friction,3,2.0,object_penetration,6,0.05
target-friction,3,2.0,recovery_limit,6,0.05
target-friction,4,4.0,gripper_never_closed,1,0.008333333333333333
target-friction,4,4.0,insufficient_push_distance,30,0.25
target-friction,4,4.0,object_penetration,6,0.05
target-friction,4,4.0,recovery_limit,6,0.05
