physics_parameter,level_index,multiplier,episodes,successes,success_rate,ci95_lower,ci95_upper,pick_success_rate,push_success_rate,wrong_object_contact_rate,target_contact_rate,mean_steps
target-mass,0,0.25,120,119,0.9916666666666667,0.9543037087549505,0.998527444266658,1.0,0.9833333333333333,0.0,0.9833333333333333,85.81666666666666
target-mass,1,0.5,120,118,0.9833333333333333,0.941264037027841,0.9954174354340789,0.9833333333333333,0.9833333333333333,0.0,1.0,86.89166666666667
target-mass,2,1.0,120,116,0.9666666666666667,0.917419662440894,0.9869624489016494,0.9833333333333333,0.95,0.0,1.0,88.43333333333334
target-mass,3,2.0,120,116,0.9666666666666667,0.917419662440894,0.9869624489016494,0.9833333333333333,0.95,0.0,0.9833333333333333,93.00833333333334
target-mass,4,4.0,120,79,0.6583333333333333,0.5697483143197224,0.7370956163143549,0.7,0.6166666666666667,0.23333333333333334,0.7416666666666667,141.075
target-friction,0,0.25,120,116,0.9666666666666667,0.917419662440894,0.9869624489016494,0.9833333333333333,0.95,0.0,1.0,88.43333333333334
target-friction,1,0.5,120,116,0.9666666666666667,0.917419662440894,0.9869624489016494,0.9833333333333333,0.95,0.0,1.0,88.43333333333334
target-friction,2,1.0,120,116,0.9666666666666667,0.917419662440894,0.9869624489016494,0.9833333333333333,0.95,0.0,1.0,88.43333333333334
target-friction,3,2.0,120,79,0.6583333333333333,0.5697483143197224,0.7370956163143549,0.9833333333333333,0.3333333333333333,0.0,1.0,116.7
target-friction,4,4.0,120,77,0.6416666666666667,0.5527053600179013,0.7218392094967996,0.9833333333333333,0.3,0.0,1.0,122.10833333333333
