physics_parameter,level_index,multiplier,task,episodes,success_rate
target-mass,0,0.25,pick_A,20,1.0
target-mass,0,0.25,pick_B,20,1.0
target-mass,0,0.25,pick_C,20,1.0
target-mass,0,0.25,push_A,20,1.0
target-mass,0,0.25,push_B,20,1.0
target-mass,0,0.25,push_C,20,0.95
target-mass,1,0.5,pick_A,20,0.95
target-mass,1,0.5,pick_B,20,1.0
target-mass,1,0.5,pick_C,20,1.0
target-mass,1,0.5,push_A,20,1.0
target-mass,1,0.5,push_B,20,1.0
target-mass,1,0.5,push_C,20,0.95
target-mass,2,1.0,pick_A,20,0.95
target-mass,2,1.0,pick_B,20,1.0
target-mass,2,1.0,pick_C,20,1.0
target-mass,2,1.0,push_A,20,1.0
target-mass,2,1.0,push_B,20,0.95
target-mass,2,1.0,push_C,20,0.9
target-mass,3,2.0,pick_A,20,0.95
target-mass,3,2.0,pick_B,20,1.0
target-mass,3,2.0,pick_C,20,1.0
target-mass,3,2.0,push_A,20,0.95
target-mass,3,2.0,push_B,20,0.95
target-mass,3,2.0,push_C,20,0.95
target-mass,4,4.0,pick_A,20,1.0
target-mass,4,4.0,pick_B,20,1.0
target-mass,4,4.0,pick_C,20,0.1
target-mass,4,4.0,push_A,20,0.95
target-mass,4,4.0,push_B,20,0.9
target-mass,4,4.0,push_C,20,0.0
target-friction,0,0.25,pick_A,20,0.95
target-friction,0,0.25,pick_B,20,1.0
target-friction,0,0.25,pick_C,20,1.0
target-friction,0,0.25,push_A,20,1.0
target-friction,0,0.25,push_B,20,0.95
target-friction,0,0.25,push_C,20,0.9
target-friction,1,0.5,pick_A,20,0.95
target-friction,1,0.5,pick_B,20,1.0
target-friction,1,0.5,pick_C,20,1.0
target-friction,1,0.5,push_A,20,1.0
target-friction,1,0.5,push_B,20,0.95
target-friction,1,0.5,push_C,20,0.9
target-friction,2,1.0,pick_A,20,0.95
target-friction,2,1.0,pick_B,20,1.0
target-friction,2,1.0,pick_C,20,1.0
target-friction,2,1.0,push_A,20,1.0
target-friction,2,1.0,push_B,20,0.95
target-friction,2,1.0,push_C,20,0.9
target-friction,3,2.0,pick_A,20,0.95
target-friction,3,2.0,pick_B,20,1.0
target-friction,3,2.0,pick_C,20,1.0
target-friction,3,2.0,push_A,20,0.05
target-friction,3,2.0,push_B,20,0.0
target-friction,3,2.0,push_C,20,0.95
target-friction,4,4.0,pick_A,20,0.95
target-friction,4,4.0,pick_B,20,1.0
target-friction,4,4.0,pick_C,20,1.0
target-friction,4,4.0,push_A,20,0.0
target-friction,4,4.0,push_B,20,0.05
target-friction,4,4.0,push_C,20,0.85
