level,translation_mm,rotation_deg,failure_category,count,rate_over_all_episodes
0,0.0,0.0,lateral_push_error,1,0.008333333333333333
0,0.0,0.0,recovery_limit,1,0.008333333333333333
1,5.0,1.0,lateral_push_error,1,0.008333333333333333
2,10.0,2.0,insufficient_push_distance,2,0.016666666666666666
2,10.0,2.0,recovery_limit,2,0.016666666666666666
3,15.0,3.0,grasp_failed_after_contact,1,0.008333333333333333
3,15.0,3.0,gripper_never_closed,1,0.008333333333333333
3,15.0,3.0,insufficient_lift,1,0.008333333333333333
3,15.0,3.0,recovery_limit,3,0.025
3,15.0,3.0,target_not_contacted,3,0.025
3,15.0,3.0,wrong_object_contact,1,0.008333333333333333
4,20.0,4.0,grasp_failed_after_contact,1,0.008333333333333333
4,20.0,4.0,gripper_never_closed,7,0.058333333333333334
4,20.0,4.0,insufficient_lift,3,0.025
4,20.0,4.0,insufficient_push_distance,4,0.03333333333333333
4,20.0,4.0,recovery_limit,3,0.025
4,20.0,4.0,target_not_contacted,7,0.058333333333333334
4,20.0,4.0,wrong_object_contact,1,0.008333333333333333
