level,translation_mm,rotation_deg,task,episodes,success_rate
0,0.0,0.0,pick_A,20,1.0
0,0.0,0.0,pick_B,20,1.0
0,0.0,0.0,pick_C,20,1.0
0,0.0,0.0,push_A,20,1.0
0,0.0,0.0,push_B,20,0.95
0,0.0,0.0,push_C,20,0.95
1,5.0,1.0,pick_A,20,1.0
1,5.0,1.0,pick_B,20,1.0
1,5.0,1.0,pick_C,20,1.0
1,5.0,1.0,push_A,20,1.0
1,5.0,1.0,push_B,20,1.0
1,5.0,1.0,push_C,20,0.95
2,10.0,2.0,pick_A,20,1.0
2,10.0,2.0,pick_B,20,0.95
2,10.0,2.0,pick_C,20,0.95
2,10.0,2.0,push_A,20,1.0
2,10.0,2.0,push_B,20,0.95
2,10.0,2.0,push_C,20,0.95
3,15.0,3.0,pick_A,20,0.95
3,15.0,3.0,pick_B,20,0.9
3,15.0,3.0,pick_C,20,0.9
3,15.0,3.0,push_A,20,0.95
3,15.0,3.0,push_B,20,0.85
3,15.0,3.0,push_C,20,0.95
4,20.0,4.0,pick_A,20,0.75
4,20.0,4.0,pick_B,20,0.8
4,20.0,4.0,pick_C,20,0.75
4,20.0,4.0,push_A,20,0.95
4,20.0,4.0,push_B,20,0.7
4,20.0,4.0,push_C,20,0.75
