count,task,episodes,task_success_rate,collision_aware_success_rate
0,pick_A,20,0.95,0.9
0,pick_B,20,1.0,1.0
0,pick_C,20,1.0,1.0
0,push_A,20,0.95,0.95
0,push_B,20,0.9,0.9
0,push_C,20,0.95,0.95
1,pick_A,20,1.0,0.95
1,pick_B,20,1.0,1.0
1,pick_C,20,1.0,1.0
1,push_A,20,0.95,0.95
1,push_B,20,0.95,0.95
1,push_C,20,0.95,0.95
2,pick_A,20,0.9,0.9
2,pick_B,20,1.0,1.0
2,pick_C,20,1.0,1.0
2,push_A,20,0.95,0.95
2,push_B,20,0.8,0.8
2,push_C,20,0.95,0.95
3,pick_A,20,0.9,0.9
3,pick_B,20,0.95,0.95
3,pick_C,20,1.0,1.0
3,push_A,20,0.95,0.95
3,push_B,20,0.85,0.85
3,push_C,20,0.9,0.9
