condition,task,episodes,successes,success_rate,ci95_lower,ci95_upper,initial_task_type_accuracy,initial_target_accuracy,initial_task_bucket_accuracy
canonical,overall,180,178,0.9888888888888889,0.9603989991004155,0.9969476251540074,1.0,1.0,1.0
canonical,pick_A,30,30,1.0,0.8864866068260312,0.9999999999999999,1.0,1.0,1.0
canonical,pick_B,30,30,1.0,0.8864866068260312,0.9999999999999999,1.0,1.0,1.0
canonical,pick_C,30,30,1.0,0.8864866068260312,0.9999999999999999,1.0,1.0,1.0
canonical,push_A,30,30,1.0,0.8864866068260312,0.9999999999999999,1.0,1.0,1.0
canonical,push_B,30,28,0.9333333333333333,0.7867654163738308,0.9815229762087295,1.0,1.0,1.0
canonical,push_C,30,30,1.0,0.8864866068260312,0.9999999999999999,1.0,1.0,1.0
held_out,overall,180,170,0.9444444444444444,0.9007683865825439,0.9695467263760221,0.95,1.0,0.95
held_out,pick_A,30,27,0.9,0.7437891742081593,0.9654001112526658,0.9,1.0,0.9
held_out,pick_B,30,27,0.9,0.7437891742081593,0.9654001112526658,0.9,1.0,0.9
held_out,pick_C,30,27,0.9,0.7437891742081593,0.9654001112526658,0.9,1.0,0.9
held_out,push_A,30,30,1.0,0.8864866068260312,0.9999999999999999,1.0,1.0,1.0
held_out,push_B,30,29,0.9666666666666667,0.8332960900859082,0.9940914096183874,1.0,1.0,1.0
held_out,push_C,30,30,1.0,0.8864866068260312,0.9999999999999999,1.0,1.0,1.0
