condition,true_task,predicted_task,count,row_rate
canonical,pick_A,pick_A,30,1.0
canonical,pick_A,pick_B,0,0.0
canonical,pick_A,pick_C,0,0.0
canonical,pick_A,push_A,0,0.0
canonical,pick_A,push_B,0,0.0
canonical,pick_A,push_C,0,0.0
canonical,pick_B,pick_A,0,0.0
canonical,pick_B,pick_B,30,1.0
canonical,pick_B,pick_C,0,0.0
canonical,pick_B,push_A,0,0.0
canonical,pick_B,push_B,0,0.0
canonical,pick_B,push_C,0,0.0
canonical,pick_C,pick_A,0,0.0
canonical,pick_C,pick_B,0,0.0
canonical,pick_C,pick_C,30,1.0
canonical,pick_C,push_A,0,0.0
canonical,pick_C,push_B,0,0.0
canonical,pick_C,push_C,0,0.0
canonical,push_A,pick_A,0,0.0
canonical,push_A,pick_B,0,0.0
canonical,push_A,pick_C,0,0.0
canonical,push_A,push_A,30,1.0
canonical,push_A,push_B,0,0.0
canonical,push_A,push_C,0,0.0
canonical,push_B,pick_A,0,0.0
canonical,push_B,pick_B,0,0.0
canonical,push_B,pick_C,0,0.0
canonical,push_B,push_A,0,0.0
canonical,push_B,push_B,30,1.0
canonical,push_B,push_C,0,0.0
canonical,push_C,pick_A,0,0.0
canonical,push_C,pick_B,0,0.0
canonical,push_C,pick_C,0,0.0
canonical,push_C,push_A,0,0.0
canonical,push_C,push_B,0,0.0
canonical,push_C,push_C,30,1.0
held_out,pick_A,pick_A,27,0.9
held_out,pick_A,pick_B,0,0.0
held_out,pick_A,pick_C,0,0.0
held_out,pick_A,push_A,3,0.1
held_out,pick_A,push_B,0,0.0
held_out,pick_A,push_C,0,0.0
held_out,pick_B,pick_A,0,0.0
held_out,pick_B,pick_B,27,0.9
held_out,pick_B,pick_C,0,0.0
held_out,pick_B,push_A,0,0.0
held_out,pick_B,push_B,3,0.1
held_out,pick_B,push_C,0,0.0
held_out,pick_C,pick_A,0,0.0
held_out,pick_C,pick_B,0,0.0
held_out,pick_C,pick_C,27,0.9
held_out,pick_C,push_A,0,0.0
held_out,pick_C,push_B,0,0.0
held_out,pick_C,push_C,3,0.1
held_out,push_A,pick_A,0,0.0
held_out,push_A,pick_B,0,0.0
held_out,push_A,pick_C,0,0.0
held_out,push_A,push_A,30,1.0
held_out,push_A,push_B,0,0.0
held_out,push_A,push_C,0,0.0
held_out,push_B,pick_A,0,0.0
held_out,push_B,pick_B,0,0.0
held_out,push_B,pick_C,0,0.0
held_out,push_B,push_A,0,0.0
held_out,push_B,push_B,30,1.0
held_out,push_B,push_C,0,0.0
held_out,push_C,pick_A,0,0.0
held_out,push_C,pick_B,0,0.0
held_out,push_C,pick_C,0,0.0
held_out,push_C,push_A,0,0.0
held_out,push_C,push_B,0,0.0
held_out,push_C,push_C,30,1.0
